file	percent	reads	taxon_id	taxon_name
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	10.398439	6414068	1720083	Acetilactobacillus jinshanensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	2.778333	1713759	3082954	Nicoliella lavandulae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	1.853788	1143472	2109645	Lactobacillus sp. Sy-1
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	1.539424	949563	2925830	Nicoliella spurrieriana
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	1.387279	855715	562	Escherichia coli
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.957922	590875	2929573	Philodulcilactobacillus myokoensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.474628	292765	2967336	Bombella pluederhausensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.256435	158177	2967339	Bombella dulcis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.238210	146935	35620	Streptomyces hirsutus
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.235047	144984	2039288	Bombella mellum
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.223468	137842	2419772	Apilactobacillus bombintestini
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.221536	136650	2841032	Apilactobacillus xinyiensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.207453	127963	709323	Fructobacillus tropaeoli
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.174714	107769	2923364	Apilactobacillus apisilvae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.164997	101775	1614	Fructilactobacillus fructivorans
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.162025	99942	866801	Apilactobacillus ozensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.154198	95114	2967338	Bombella saccharophila
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.138547	85460	2689393	Saccharibacter sp. 17.LH.SD
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.132184	81535	148814	Apilactobacillus kunkeei
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.125535	77434	2692917	Lactobacillus sp. S2-2
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.117139	72255	1539051	Bombella intestini
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.091453	56411	2039164	Bombella favorum
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.084813	52315	47854	Micromonospora chersina
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.083025	51212	1899430	Apilactobacillus micheneri
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.081480	50259	2008377	Apilactobacillus quenuiae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.075184	46376	176292	Secundilactobacillus malefermentans
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.072295	44594	931534	Lentilactobacillus senioris
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.068217	42078	179838	Lentilactobacillus diolivorans
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.066746	41171	2773925	Limosilactobacillus sp.
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.066496	41017	2883998	Lentilactobacillus laojiaonis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.064616	39857	53444	Fructilactobacillus lindneri
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.062009	38249	1246981	Tolypothrix bouteillei
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.059694	36821	2697033	Aristophania vespae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.058919	36343	2024736	Levilactobacillus bambusae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.057275	35329	2729622	Lentilactobacillus kribbianus
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.054971	33908	3039492	Lentilactobacillus sp. Marseille-Q4993
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.054021	33322	1249630	Fructilactobacillus vespulae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.052867	32610	390841	Lentilactobacillus farraginis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.052686	32498	29385	Staphylococcus saprophyticus
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.051327	31660	1138822	Lentilactobacillus curieae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.051314	31652	3422304	Fructilactobacillus sp. Tb1
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.049508	30538	1987503	Lentilactobacillus raoultii
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.047469	29280	1219382	Acinetobacter nectaris
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.046961	28967	2558360	Oecophyllibacter saccharovorans
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.046859	28904	390842	Lentilactobacillus parafarraginis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.042534	26236	231053	Saccharibacter floricola
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.041614	25669	1202668	Secundilactobacillus oryzae
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.040672	25088	2008380	Apilactobacillus timberlakei
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.039645	24454	2201250	Lentilactobacillus fungorum
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.039111	24125	220714	Fructobacillus pseudoficulneus
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.039035	24078	1588	Lentilactobacillus hilgardii
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.038993	24052	640331	Fructilactobacillus florum
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.037782	23305	1625	Fructilactobacillus sanfranciscensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.036294	22387	481722	Lentilactobacillus kisonensis
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.035710	22027	2678357	Secundilactobacillus folii
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.034997	21587	1496	Clostridioides difficile
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.034659	21379	1590	Lactiplantibacillus plantarum
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.032931	20313	240427	Secundilactobacillus paracollinoides
results_refseq_nr/5MMH_5/5MMH_5.refseq_nr.kaiju.out	0.031218	19256	157463	Fructobacillus ficulneus
