#OTU ID	B-10PP-10PP	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH13-Q13	B-SVH14-Q14	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-SVH9-Q9	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-E9	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11	Taxonomy
OTU1	0	44	308	0	0	3	0	344	0	0	0	0	3	1607	847	0	2090	0	170	210	8328	2373	5330	1182	2835	0	0	0	0	0	0	2	0	0	0	SS|0.9600|None;k:Fungi
OTU10	10	22	593	69	7	14	0	50	0	0	197	0	0	4	52	0	62	0	4	9	304	31	274	7	4	0	245	3	1687	0	22	0	10742	1	278	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Basidiomycota,c:Wallemiomycetes,o:Wallemiales,f:Wallemiaceae,g:Wallemia,s:Wallemia canadensis
OTU100	0	0	0	0	0	0	494	0	2675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1000	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	SS|1.0000|KY934060|SH0855393.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Montagnula,s:Montagnula chromolaenicola
OTU1001	3	0	0	2	1	0	1	3	2	1	5	0	0	0	0	0	2	0	0	1	3	0	0	1	0	0	0	1	1	0	0	2	0	2	2	SS|0.9900|KU582015|SH0983513.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae,g:Phragmocapnias,s:Phragmocapnias plumeriae
OTU1002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	GS|98.7|MG211385|SH0877523.10FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula paludigena
OTU1003	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1004	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	10	0	3	0	0	0	0	0	0	0	0	0	0	SS|0.9900|MN497403|SH0898310.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Simplicillium,s:Simplicillium formicae
OTU1005	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Coniophoraceae,g:Coniophora,s:Coniophora marmorata
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9900|KF493909|SH0940757.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Melanconiellaceae,g:Melanconiella
OTU1008	0	0	0	0	14	2	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	SS|0.9900|KJ411618|SH1039416.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Zygosporiaceae,g:Zygosporium,s:Zygosporium oscheoides
OTU1009	0	0	0	0	0	0	0	0	0	3	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU101	0	190	0	12	0	26	7	735	0	87	0	46	1	75	389	0	23	0	5	3	175	0	0	67	29	0	0	6	0	0	0	0	0	0	444	SS|0.9400|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia vanudenii
OTU1010	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9700|MW356761|SH1011144.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae,g:Xenosonderhenia
OTU1011	0	0	0	0	0	0	11	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0	SS|0.8900|KX279858|SH0949598.10FU;k:Fungi
OTU1012	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9900|MW764294|SH1041759.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU1013	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8500|KU581842|SH1000515.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU1014	4	0	1	2	2	3	1	9	5	4	0	0	0	0	2	0	7	0	2	0	1	5	0	5	6	0	2	10	1	0	1	5	1	4	8	GS|100.0|KX905280|SH0760230.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Saccharomyces,s:Saccharomyces cerevisiae
OTU1015	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9800|MN745296|SH0996590.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Leptobacillium,s:Leptobacillium symbioticum
OTU1016	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8500|KJ411618|SH1039416.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU1017	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	SS|0.8000|KJ170306|SH0904553.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Veronaea
OTU1018	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	SS|1.0000|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales,g:Trichaptum,s:Trichaptum perrottetii
OTU102	0	0	0	0	0	49	0	0	2988	0	37	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1020	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus leucocarpus
OTU1021	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	18	3	0	0	0	0	0	0	0	0	0	0	0	SS|0.9300|KT207287|SH0971971.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae,g:Neoceratosperma,s:Neoceratosperma yunnanense
OTU1022	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8400|MW356761|SH1011144.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales
OTU1023	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU1024	0	0	0	0	0	0	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	SS|0.8300|KU582015|SH0983513.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales
OTU1025	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	8	0	8	3	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
