#OTU ID	B-10PP-10PP	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH13-Q13	B-SVH14-Q14	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-SVH9-Q9	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-E9	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11
OTU1	0	44	308	0	0	3	0	344	0	0	0	0	3	1607	847	0	2090	0	170	210	8328	2373	5330	1182	2835	0	0	0	0	0	0	2	0	0	0
OTU10	10	22	593	69	7	14	0	50	0	0	197	0	0	4	52	0	62	0	4	9	304	31	274	7	4	0	245	3	1687	0	22	0	10742	1	278
OTU100	0	0	0	0	0	0	494	0	2675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1000	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
OTU1001	3	0	0	2	1	0	1	3	2	1	5	0	0	0	0	0	2	0	0	1	3	0	0	1	0	0	0	1	1	0	0	2	0	2	2
OTU1002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
OTU1003	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1004	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	10	0	3	0	0	0	0	0	0	0	0	0	0
OTU1005	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1008	0	0	0	0	14	2	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
OTU1009	0	0	0	0	0	0	0	0	0	3	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	190	0	12	0	26	7	735	0	87	0	46	1	75	389	0	23	0	5	3	175	0	0	67	29	0	0	6	0	0	0	0	0	0	444
OTU1010	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1011	0	0	0	0	0	0	11	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0
OTU1012	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1013	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1014	4	0	1	2	2	3	1	9	5	4	0	0	0	0	2	0	7	0	2	0	1	5	0	5	6	0	2	10	1	0	1	5	1	4	8
OTU1015	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU1016	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1017	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1018	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
