OTU	ASVs
OTU1	ASV16, ASV61
OTU2	ASV6, ASV180
OTU3	ASV13
OTU4	ASV37, ASV23, ASV560, ASV603, ASV955
OTU5	ASV9, ASV30, ASV142, ASV231, ASV793, ASV2432, ASV2677, ASV609
OTU6	ASV22
OTU7	ASV1, ASV302, ASV371, ASV413, ASV594, ASV692, ASV806, ASV1183, ASV1715
OTU8	ASV28, ASV310, ASV946, ASV1737
OTU9	ASV15, ASV794, ASV2059
OTU10	ASV26, ASV107, ASV136, ASV429, ASV893, ASV1174
OTU11	ASV29, ASV90, ASV325, ASV542, ASV623, ASV656, ASV823
OTU12	ASV35, ASV1196, ASV1782
OTU13	ASV54, ASV1084
OTU14	ASV3, ASV52, ASV47, ASV46, ASV466, ASV697, ASV885, ASV1377, ASV1912
OTU15	ASV21, ASV7, ASV40, ASV64, ASV114, ASV239, ASV366, ASV398, ASV446, ASV444, ASV482, ASV596, ASV628, ASV733, ASV751, ASV822, ASV860, ASV856, ASV888, ASV945, ASV960, ASV975, ASV978, ASV989, ASV1167, ASV1168, ASV1193, ASV1203, ASV1213, ASV1293, ASV1311, ASV1359, ASV1358, ASV1380, ASV1408, ASV1424, ASV1438, ASV1462, ASV1499, ASV1498, ASV1521, ASV1522, ASV1548, ASV1606, ASV1655, ASV1724, ASV1761, ASV2074, ASV2384
OTU16	ASV17, ASV1271, ASV2627
OTU17	ASV36, ASV469, ASV492, ASV593, ASV638, ASV753, ASV996, ASV1142
OTU18	ASV4, ASV137, ASV161, ASV192, ASV221, ASV268, ASV287, ASV224, ASV321, ASV245, ASV295, ASV337, ASV272, ASV358, ASV372, ASV400, ASV384, ASV410, ASV412, ASV428, ASV472, ASV505, ASV514, ASV510, ASV529, ASV549, ASV558, ASV548, ASV562, ASV569, ASV523, ASV568, ASV602, ASV597, ASV576, ASV629, ASV658, ASV690, ASV737, ASV723, ASV773, ASV844, ASV861, ASV951, ASV1456, ASV1458, ASV1501, ASV1523, ASV1520, ASV1575, ASV1633, ASV698, ASV1911, ASV2016
OTU19	ASV14, ASV227, ASV633, ASV730
OTU20	ASV32
OTU21	ASV5, ASV129, ASV181, ASV284, ASV434, ASV508, ASV517, ASV1171, ASV1206, ASV535, ASV1328, ASV1618, ASV2731, ASV630
OTU22	ASV34
OTU23	ASV57, ASV385, ASV1136, ASV1249, ASV1314
OTU24	ASV2, ASV10, ASV11, ASV521, ASV846, ASV1208, ASV1631
OTU25	ASV25, ASV1000, ASV1060
OTU26	ASV12, ASV270, ASV759, ASV772, ASV1220, ASV740, ASV2519, ASV3685
OTU27	ASV49, ASV110, ASV232, ASV2112
OTU28	ASV39, ASV53, ASV173, ASV263, ASV712, ASV1214
OTU29	ASV19, ASV31, ASV147, ASV177, ASV201, ASV313, ASV246, ASV253, ASV554, ASV639, ASV736, ASV2369, ASV537
OTU30	ASV43, ASV987
OTU31	ASV41, ASV375, ASV3409
OTU32	ASV48, ASV421, ASV887, ASV898, ASV920, ASV921, ASV1238, ASV1279, ASV1295, ASV1379, ASV1590
OTU33	ASV55, ASV317, ASV574, ASV853, ASV958, ASV3323
OTU34	ASV51, ASV103, ASV127, ASV101, ASV95, ASV255, ASV234, ASV344, ASV420, ASV501, ASV513, ASV642, ASV749, ASV795, ASV1029, ASV1041, ASV1091, ASV1565
OTU35	ASV65, ASV130, ASV214, ASV956
OTU36	ASV74
OTU37	ASV63, ASV120, ASV1850
OTU38	ASV58, ASV496, ASV1825, ASV2647, ASV3629
OTU39	ASV56, ASV79, ASV460, ASV1189, ASV1793
OTU40	ASV76, ASV202, ASV968
OTU41	ASV42, ASV118, ASV387, ASV1132, ASV1217, ASV1313
OTU42	ASV77
OTU43	ASV38, ASV1026, ASV1147, ASV2271, ASV2922, ASV3334
OTU44	ASV78, ASV545
OTU45	ASV45, ASV783, ASV1015
OTU46	ASV68, ASV643, ASV1678
OTU47	ASV70, ASV681, ASV764
OTU48	ASV60, ASV139, ASV251, ASV339, ASV376, ASV624, ASV1297
OTU49	ASV75, ASV257, ASV901, ASV982, ASV2177, ASV2591, ASV2851
OTU50	ASV81
OTU51	ASV44, ASV256, ASV680, ASV790, ASV837
OTU52	ASV66
OTU53	ASV59, ASV1277, ASV3555
OTU54	ASV93
OTU55	ASV113, ASV208, ASV1305, ASV2137
OTU56	ASV99, ASV808, ASV828, ASV985, ASV1138, ASV1157, ASV1192, ASV1967
OTU57	ASV109, ASV2434
OTU58	ASV102, ASV667
OTU59	ASV105
OTU60	ASV106, ASV478
