OTU	ASVs
OTU61	ASV117, ASV353, ASV580, ASV620
OTU62	ASV91, ASV170, ASV709, ASV1434
OTU63	ASV94, ASV1086, ASV1369, ASV1512, ASV2207
OTU64	ASV112, ASV647, ASV1518
OTU65	ASV83, ASV1035, ASV1036, ASV2297, ASV2588
OTU66	ASV100, ASV2965
OTU67	ASV72
OTU68	ASV116
OTU69	ASV124, ASV926, ASV969, ASV1045, ASV1094, ASV1607
OTU70	ASV119, ASV141
OTU71	ASV82
OTU72	ASV122
OTU73	ASV125
OTU74	ASV73, ASV1651, ASV1740, ASV3526
OTU75	ASV69, ASV657, ASV917, ASV1376
OTU76	ASV89, ASV85, ASV659, ASV1061
OTU77	ASV87, ASV970, ASV1170
OTU78	ASV140, ASV111, ASV98, ASV710, ASV1364, ASV1423, ASV2675, ASV930
OTU79	ASV128, ASV334
OTU80	ASV92, ASV742, ASV927, ASV1251, ASV1250, ASV745
OTU81	ASV138, ASV150, ASV340, ASV1020
OTU82	ASV121, ASV303, ASV735, ASV2525
OTU83	ASV97, ASV1187
OTU84	ASV156, ASV990
OTU85	ASV148
OTU86	ASV154, ASV383, ASV1657
OTU87	ASV151, ASV1398
OTU88	ASV155, ASV362
OTU89	ASV153, ASV1326
OTU90	ASV163, ASV538, ASV3672
OTU91	ASV162, ASV491, ASV519, ASV950
OTU92	ASV133
OTU93	ASV158, ASV419, ASV843, ASV918, ASV1212, ASV3963
OTU94	ASV108
OTU95	ASV123, ASV2754
OTU96	ASV167, ASV648, ASV1051, ASV1266, ASV1407, ASV1589, ASV1658, ASV1767
OTU97	ASV164
OTU98	ASV115
OTU99	ASV135, ASV2226
OTU100	ASV84, ASV360
OTU101	ASV166, ASV210, ASV335, ASV1818, ASV3044
OTU102	ASV80, ASV1162
OTU103	ASV143
OTU104	ASV165, ASV617, ASV2859
OTU105	ASV152, ASV768, ASV903, ASV935, ASV1080, ASV1104, ASV1723, ASV3686
OTU106	ASV144
OTU107	ASV131, ASV1409, ASV1842
OTU108	ASV126
OTU109	ASV96
OTU110	ASV134, ASV378
OTU111	ASV168, ASV953, ASV979, ASV1241, ASV1381, ASV1524
OTU112	ASV149
OTU113	ASV176, ASV882, ASV904, ASV980, ASV1200, ASV1201, ASV1308, ASV1457, ASV1478, ASV2393
OTU114	ASV175
OTU115	ASV179
OTU116	ASV174
OTU117	ASV193
OTU118	ASV184, ASV2159
OTU119	ASV187
OTU120	ASV186, ASV471, ASV964, ASV2052, ASV3525
OTU121	ASV190, ASV1082, ASV2486, ASV3097
OTU122	ASV197
OTU123	ASV230, ASV188, ASV381, ASV925, ASV2573
OTU124	ASV160, ASV618
OTU125	ASV198
OTU126	ASV203
OTU127	ASV159
OTU128	ASV171
OTU129	ASV199
OTU130	ASV196
OTU131	ASV211, ASV948
OTU132	ASV213, ASV279, ASV2852
OTU133	ASV209, ASV704, ASV3795
OTU134	ASV212, ASV2962
OTU135	ASV207, ASV1799, ASV3723
OTU136	ASV169
OTU137	ASV216
OTU138	ASV223
OTU139	ASV218, ASV515, ASV779
OTU140	ASV225
OTU141	ASV222
OTU142	ASV226
OTU143	ASV238
OTU144	ASV237, ASV884, ASV2447, ASV2517
OTU145	ASV243, ASV390
OTU146	ASV242
OTU147	ASV236, ASV2600
OTU148	ASV249, ASV830, ASV944, ASV1105, ASV2435, ASV2592
OTU149	ASV240
OTU150	ASV244, ASV2575
OTU151	ASV233, ASV716
OTU152	ASV254
OTU153	ASV258, ASV866, ASV1146, ASV1186, ASV2009, ASV3111, ASV3550, ASV1770, ASV1058
OTU154	ASV261, ASV1144
OTU155	ASV269
OTU156	ASV260
OTU157	ASV219
OTU158	ASV205, ASV1003, ASV1055, ASV1185
OTU159	ASV264, ASV761
OTU160	ASV265
OTU161	ASV220, ASV1923, ASV2272, ASV3214
OTU162	ASV229
OTU163	ASV273, ASV1693
OTU164	ASV262, ASV3397
OTU165	ASV281
OTU166	ASV275, ASV738, ASV2802
OTU167	ASV274, ASV522, ASV1209, ASV2621
OTU168	ASV277
OTU169	ASV285, ASV314, ASV673, ASV787, ASV857
OTU170	ASV286, ASV432, ASV1827
OTU171	ASV259, ASV3566
OTU172	ASV289, ASV418, ASV1109, ASV1744, ASV2569
OTU173	ASV294, ASV1124, ASV1489, ASV2368
OTU174	ASV292, ASV518, ASV2412
OTU175	ASV293, ASV489
OTU176	ASV298, ASV1194, ASV1603
OTU177	ASV200, ASV355, ASV1099, ASV1766
OTU178	ASV308, ASV409, ASV3907
OTU179	ASV311, ASV782, ASV2582, ASV2733
OTU180	ASV267
OTU181	ASV288
OTU182	ASV296
OTU183	ASV306
OTU184	ASV299, ASV665
OTU185	ASV312, ASV2462, ASV3398
OTU186	ASV318
OTU187	ASV282, ASV450, ASV495, ASV1270, ASV2042
OTU188	ASV305
OTU189	ASV217
OTU190	ASV315
OTU191	ASV323
OTU192	ASV324, ASV2111
OTU193	ASV326, ASV1202, ASV2204
OTU194	ASV316, ASV454, ASV934, ASV1780, ASV2058
OTU195	ASV300, ASV290, ASV401, ASV1334
OTU196	ASV271, ASV2114
OTU197	ASV327
OTU198	ASV278
OTU199	ASV266, ASV1103, ASV1207
OTU200	ASV307, ASV1176
OTU201	ASV320
OTU202	ASV333, ASV3678
OTU203	ASV250, ASV2342, ASV3422
OTU204	ASV248, ASV775
OTU205	ASV341
OTU206	ASV336, ASV389
OTU207	ASV343, ASV811, ASV1304
OTU208	ASV328
OTU209	ASV338, ASV754
OTU210	ASV361
OTU211	ASV347
OTU212	ASV359
OTU213	ASV329, ASV2453
OTU214	ASV351, ASV1140, ASV2031
OTU215	ASV342
OTU216	ASV345, ASV1697
OTU217	ASV346, ASV1599, ASV1813
OTU218	ASV330, ASV416, ASV1436, ASV2196, ASV2326
OTU219	ASV363, ASV559, ASV835, ASV867
OTU220	ASV348, ASV2668
OTU221	ASV368
OTU222	ASV374
OTU223	ASV380
OTU224	ASV356
OTU225	ASV367
OTU226	ASV352
OTU227	ASV370, ASV679
OTU228	ASV357, ASV4045
OTU229	ASV379
OTU230	ASV354
OTU231	ASV369
OTU232	ASV365
OTU233	ASV382
OTU234	ASV386, ASV3035
OTU235	ASV377
OTU236	ASV393, ASV1411
OTU237	ASV402, ASV641, ASV909, ASV2202, ASV3234
OTU238	ASV395
OTU239	ASV388
OTU240	ASV396, ASV555
OTU241	ASV373
OTU242	ASV404, ASV1479
OTU243	ASV403
OTU244	ASV422
OTU245	ASV408, ASV870, ASV1382
OTU246	ASV399, ASV724, ASV2107, ASV3393
OTU247	ASV417, ASV876, ASV1226, ASV1399, ASV2089, ASV2268
OTU248	ASV394, ASV500, ASV1351, ASV1465, ASV1788, ASV1814, ASV2125, ASV2941
OTU249	ASV407, ASV1292, ASV1966
OTU250	ASV405
OTU251	ASV424, ASV689, ASV1128, ASV1309, ASV1656, ASV2015, ASV2143
OTU252	ASV423, ASV780, ASV1177, ASV1401, ASV1581, ASV2104, ASV2199
OTU253	ASV391
OTU254	ASV414, ASV1696
OTU255	ASV425, ASV1033, ASV1149, ASV1869
OTU256	ASV430, ASV3767
OTU257	ASV437, ASV650
OTU258	ASV435
OTU259	ASV406, ASV821, ASV874, ASV2303, ASV3030, ASV915
OTU260	ASV433, ASV2355
OTU261	ASV438, ASV705
OTU262	ASV431
OTU263	ASV436, ASV1998, ASV2211, ASV3019
OTU264	ASV449
OTU265	ASV427, ASV456
OTU266	ASV441
OTU267	ASV415, ASV511, ASV571, ASV1068, ASV1272, ASV1298, ASV1335, ASV1739, ASV1822, ASV1963
OTU268	ASV442, ASV577, ASV1296, ASV2494, ASV865
OTU269	ASV462
OTU270	ASV451, ASV1135, ASV1614, ASV2757
OTU271	ASV453
OTU272	ASV448
OTU273	ASV458, ASV879, ASV2443, ASV2551
OTU274	ASV465, ASV871
OTU275	ASV447
OTU276	ASV459, ASV914, ASV2359, ASV2589, ASV3660, ASV3673
OTU277	ASV461, ASV3425
OTU278	ASV468
OTU279	ASV467, ASV1561, ASV2325
OTU280	ASV475, ASV567, ASV1264
OTU281	ASV463, ASV802, ASV1336
OTU282	ASV455
OTU283	ASV480, ASV1410, ASV1854
OTU284	ASV470
OTU285	ASV476, ASV477, ASV1282
OTU286	ASV474, ASV588, ASV1882
OTU287	ASV392, ASV499
OTU288	ASV487
OTU289	ASV509
OTU290	ASV473
OTU291	ASV507
OTU292	ASV481
OTU293	ASV493, ASV1668, ASV2414, ASV3212, ASV3619
OTU294	ASV488, ASV2275, ASV3003
OTU295	ASV485, ASV1482
OTU296	ASV512
OTU297	ASV490, ASV1500, ASV3020
OTU298	ASV483, ASV3275
OTU299	ASV502, ASV1637
OTU300	ASV486, ASV2451
OTU301	ASV504, ASV3913
OTU302	ASV498
OTU303	ASV525
OTU304	ASV524
OTU305	ASV516, ASV1007, ASV1092, ASV1494
OTU306	ASV526, ASV528, ASV599, ASV847, ASV939, ASV2145, ASV2225, ASV2460, ASV2578
OTU307	ASV531
OTU308	ASV536
OTU309	ASV2703, ASV3758, ASV520
OTU310	ASV534
OTU311	ASV546, ASV2708
OTU312	ASV532, ASV584, ASV1975
OTU313	ASV530
OTU314	ASV533, ASV3419
OTU315	ASV550, ASV777, ASV952, ASV1425, ASV1559, ASV2350
OTU316	ASV551
OTU317	ASV527, ASV3603
OTU318	ASV557
OTU319	ASV539
OTU320	ASV541
OTU321	ASV556, ASV1596
OTU322	ASV553, ASV988
OTU323	ASV565, ASV2458
OTU324	ASV563
OTU325	ASV544
OTU326	ASV3541, ASV543
OTU327	ASV561, ASV711, ASV785, ASV1006, ASV1474, ASV3479
OTU328	ASV572, ASV3059, ASV3903
OTU329	ASV578, ASV1302
OTU330	ASV573, ASV940, ASV3999
OTU331	ASV570, ASV605, ASV852, ASV983
OTU332	ASV579, ASV1301
OTU333	ASV566, ASV625, ASV3667
OTU334	ASV591
OTU335	ASV598, ASV1139
OTU336	ASV582, ASV1987
OTU337	ASV587
OTU338	ASV601
OTU339	ASV583, ASV1634
OTU340	ASV592
OTU341	ASV590, ASV1900, ASV2481, ASV2861, ASV3092
OTU342	ASV586, ASV1012, ASV1341, ASV1464, ASV3036
OTU343	ASV600
OTU344	ASV589, ASV1074
OTU345	ASV595
OTU346	ASV610
OTU347	ASV611
OTU348	ASV604, ASV942, ASV1913, ASV2469
OTU349	ASV614, ASV3681
OTU350	ASV613
OTU351	ASV622
OTU352	ASV616
OTU353	ASV631
OTU354	ASV615, ASV1285, ASV2430
OTU355	ASV619
OTU356	ASV621
OTU357	ASV635
OTU358	ASV626, ASV3198
OTU359	ASV632, ASV1070, ASV2386
OTU360	ASV646
OTU361	ASV627
OTU362	ASV652
OTU363	ASV649, ASV1318
OTU364	ASV660
OTU365	ASV655, ASV1054
OTU366	ASV640, ASV1941
OTU367	ASV661
OTU368	ASV644
OTU369	ASV653, ASV741, ASV1961
OTU370	ASV669
OTU371	ASV651
OTU372	ASV1211, ASV654
OTU373	ASV668
OTU374	ASV674
OTU375	ASV664
OTU376	ASV676
OTU377	ASV677, ASV819, ASV2073, ASV2555, ASV2811
OTU378	ASV666, ASV3637
OTU379	ASV637, ASV1422, ASV1451, ASV1564, ASV2070
OTU380	ASV670
OTU381	ASV686
OTU382	ASV675
OTU383	ASV671
OTU384	ASV687
OTU385	ASV685, ASV1849, ASV2779, ASV2831
OTU386	ASV678, ASV1446, ASV2222
OTU387	ASV683
OTU388	ASV701
OTU389	ASV702, ASV1166
OTU390	ASV672
OTU391	ASV684
OTU392	ASV688
OTU393	ASV695
OTU394	ASV708
OTU395	ASV693, ASV1939
OTU396	ASV694, ASV3638
OTU397	ASV699
OTU398	ASV715
OTU399	ASV713, ASV2750, ASV2974
OTU400	ASV691
OTU401	ASV696, ASV707, ASV3176
OTU402	ASV718
OTU403	ASV706, ASV1052, ASV1488, ASV1642, ASV2223, ASV2913
OTU404	ASV722
OTU405	ASV720, ASV747, ASV1971
OTU406	ASV714
OTU407	ASV728
OTU408	ASV739
OTU409	ASV727, ASV1288, ASV1348
OTU410	ASV731
OTU411	ASV725, ASV2523
OTU412	ASV732, ASV1403, ASV2300, ASV2338
OTU413	ASV717
OTU414	ASV729, ASV1950
OTU415	ASV748
OTU416	ASV663
OTU417	ASV750, ASV1340, ASV1353, ASV1493
OTU418	ASV746
OTU419	ASV734
OTU420	ASV755
OTU421	ASV744, ASV2002
OTU422	ASV443, ASV763
OTU423	ASV760
OTU424	ASV762
OTU425	ASV758, ASV2356, ASV3512
OTU426	ASV765, ASV1370, ASV1443, ASV1601, ASV1672, ASV1989
OTU427	ASV767
OTU428	ASV752, ASV2304
OTU429	ASV770, ASV1257
OTU430	ASV774
OTU431	ASV771, ASV863
OTU432	ASV757
OTU433	ASV781, ASV807, ASV2976
OTU434	ASV769
OTU435	ASV788, ASV1509
OTU436	ASV766, ASV2915, ASV3636
OTU437	ASV784, ASV3524
OTU438	ASV791
OTU439	ASV778
OTU440	ASV798, ASV845
OTU441	ASV789
OTU442	ASV27, ASV800, ASV803, ASV1018, ASV1129, ASV1180, ASV1346, ASV1680, ASV2526
OTU443	ASV792
OTU444	ASV809, ASV862, ASV965, ASV1085
OTU445	ASV801
OTU446	ASV662, ASV805
OTU447	ASV810
OTU448	ASV816
OTU449	ASV804, ASV1110
OTU450	ASV813, ASV1970, ASV3012
OTU451	ASV776
OTU452	ASV827, ASV1345, ASV2113
OTU453	ASV817
OTU454	ASV815, ASV1899, ASV2669
OTU455	ASV818
OTU456	ASV834, ASV2483
OTU457	ASV838, ASV3885
OTU458	ASV829, ASV2151
OTU459	ASV824, ASV1002
OTU460	ASV833, ASV1835, ASV2722
OTU461	ASV479, ASV820
OTU462	ASV839, ASV2171
OTU463	ASV814
OTU464	ASV841
OTU465	ASV832, ASV997, ASV1459, ASV3239
OTU466	ASV848, ASV1024, ASV1262
OTU467	ASV840, ASV3339
OTU468	ASV836, ASV1121
OTU469	ASV854
OTU470	ASV786, ASV1542
OTU471	ASV842
OTU472	ASV849
OTU473	ASV859
OTU474	ASV873, ASV1568
OTU475	ASV855
OTU476	ASV851
OTU477	ASV864
OTU478	ASV850, ASV3552
OTU479	ASV858
OTU480	ASV868, ASV1164, ASV1352, ASV2293, ASV2351, ASV2628, ASV2760, ASV2781, ASV2844, ASV3484
OTU481	ASV877, ASV2490
OTU482	ASV886
OTU483	ASV892
OTU484	ASV889, ASV1532
OTU485	ASV869
OTU486	ASV900
OTU487	ASV891
OTU488	ASV880
OTU489	ASV897
OTU490	ASV890
OTU491	ASV878
OTU492	ASV883
OTU493	ASV902
OTU494	ASV910, ASV3013, ASV3102, ASV3485
OTU495	ASV896, ASV1555
OTU496	ASV912
OTU497	ASV895
OTU498	ASV905, ASV2181, ASV3832
OTU499	ASV916, ASV1420, ASV1557
OTU500	ASV908, ASV1671
OTU501	ASV913
OTU502	ASV911
OTU503	ASV923
OTU504	ASV919
OTU505	ASV922
OTU506	ASV894
OTU507	ASV899, ASV1294
OTU508	ASV936
OTU509	ASV938
OTU510	ASV929, ASV2029, ASV3145
OTU511	ASV928
OTU512	ASV924, ASV3361
OTU513	ASV937
OTU514	ASV931, ASV2442, ASV3532
OTU515	ASV943
OTU516	ASV954
OTU517	ASV932
OTU518	ASV961
OTU519	ASV959
OTU520	ASV963, ASV1322
OTU521	ASV962
OTU522	ASV973, ASV3952
OTU523	ASV971, ASV3246, ASV3988
OTU524	ASV941
OTU525	ASV981
OTU526	ASV977
OTU527	ASV976
OTU528	ASV986
OTU529	ASV994
OTU530	ASV991
OTU531	ASV984, ASV2878, ASV2948
OTU532	ASV967
OTU533	ASV972
OTU534	ASV974
OTU535	ASV999
OTU536	ASV993
OTU537	ASV1004, ASV2185, ASV2296
OTU538	ASV998
OTU539	ASV1009, ASV1648
OTU540	ASV1001, ASV2140
OTU541	ASV1010
OTU542	ASV995, ASV2005, ASV2269
OTU543	ASV1013, ASV1936
OTU544	ASV1005, ASV3912
OTU545	ASV1016
OTU546	ASV1017
OTU547	ASV1021, ASV1653
OTU548	ASV1019, ASV1148
OTU549	ASV1011
OTU550	ASV1030
OTU551	ASV1028
OTU552	ASV1023
OTU553	ASV1031
OTU554	ASV1025, ASV1712, ASV2885, ASV3301
OTU555	ASV1027, ASV1378
OTU556	ASV1022
OTU557	ASV1032
OTU558	ASV1037
OTU559	ASV1046
OTU560	ASV1039, ASV2449
OTU561	ASV1044
OTU562	ASV1043, ASV1679, ASV2903, ASV2924, ASV3381, ASV3533
OTU563	ASV1056, ASV2028
OTU564	ASV1053
OTU565	ASV1048
OTU566	ASV1040, ASV1106, ASV1537
OTU567	ASV1065, ASV1964, ASV2537
OTU568	ASV1062
OTU569	ASV1076, ASV1268
OTU570	ASV1057, ASV2328
OTU571	ASV1073
OTU572	ASV1063
OTU573	ASV1049, ASV3357
OTU574	ASV1069, ASV1199, ASV1400, ASV2364
OTU575	ASV1077
OTU576	ASV1071, ASV4016
OTU577	ASV1067
OTU578	ASV1083
OTU579	ASV1075
OTU580	ASV1078, ASV1690
OTU581	ASV1079, ASV1760, ASV3166
OTU582	ASV1097
OTU583	ASV1089, ASV1545
OTU584	ASV1098, ASV2496
OTU585	ASV1081
OTU586	ASV1096
OTU587	ASV1093, ASV1347
OTU588	ASV1088
OTU589	ASV1100
OTU590	ASV1087
OTU591	ASV1102
OTU592	ASV1119, ASV2527
OTU593	ASV1118
OTU594	ASV1113
OTU595	ASV1116, ASV3529, ASV4023
OTU596	ASV1120
OTU597	ASV1115, ASV1159, ASV1574
OTU598	ASV1122
OTU599	ASV1117, ASV2601, ASV3808
OTU600	ASV1126
OTU601	ASV1131, ASV1551
OTU602	ASV1130
OTU603	ASV1137
OTU604	ASV1133
OTU605	ASV1123
OTU606	ASV1111, ASV1276
OTU607	ASV1127, ASV1310
OTU608	ASV1141, ASV1990
OTU609	ASV1151
OTU610	ASV1154
OTU611	ASV1156, ASV2173, ASV2456
OTU612	ASV1173
OTU613	ASV1152, ASV2431
OTU614	ASV1153
OTU615	ASV1160, ASV2753
OTU616	ASV1165
OTU617	ASV1629, ASV1143
OTU618	ASV1163
OTU619	ASV1145
OTU620	ASV1169, ASV2610
OTU621	ASV1155, ASV3561
OTU622	ASV1150
OTU623	ASV1158, ASV3497
OTU624	ASV1181
OTU625	ASV1172
OTU626	ASV1190
OTU627	ASV1178, ASV2136
OTU628	ASV1179
OTU629	ASV1204
OTU630	ASV1205
OTU631	ASV1197
OTU632	ASV1219, ASV2294, ASV2925, ASV3822
OTU633	ASV1210
OTU634	ASV1227, ASV2287
OTU635	ASV1218
OTU636	ASV1222
OTU637	ASV1234
OTU638	ASV1225
OTU639	ASV1229
OTU640	ASV1242, ASV3305
OTU641	ASV1221, ASV2999
OTU642	ASV1239
OTU643	ASV1175, ASV1256
OTU644	ASV1216, ASV2711
OTU645	ASV1237
OTU646	ASV1233, ASV1730, ASV2583, ASV3160
OTU647	ASV1243
OTU648	ASV1230
OTU649	ASV1246, ASV2285
OTU650	ASV1223
OTU651	ASV1244, ASV3823
OTU652	ASV1231
OTU653	ASV1260
OTU654	ASV1258
OTU655	ASV1252
OTU656	ASV1248, ASV2638
OTU657	ASV1255
OTU658	ASV1247, ASV1330, ASV3171, ASV4004
OTU659	ASV1263
OTU660	ASV1265, ASV1736, ASV2257
OTU661	ASV1240, ASV2845
OTU662	ASV1269, ASV1717, ASV2256, ASV2482
OTU663	ASV1281
OTU664	ASV1261, ASV2205
OTU665	ASV1259
OTU666	ASV1245
OTU667	ASV1275, ASV2343
OTU668	ASV1254, ASV3729
OTU669	ASV1274
OTU670	ASV1287, ASV1667
OTU671	ASV1290
OTU672	ASV1273
OTU673	ASV1286
OTU674	ASV1267
OTU675	ASV1284
OTU676	ASV1300
OTU677	ASV1306, ASV1429, ASV2100, ASV2748
OTU678	ASV1289, ASV2957
OTU679	ASV1320
OTU680	ASV1307, ASV3722
OTU681	ASV1319, ASV2313
OTU682	ASV1312
OTU683	ASV1325
OTU684	ASV1329
OTU685	ASV1323
OTU686	ASV1315
OTU687	ASV1316, ASV1594
OTU688	ASV1331
OTU689	ASV1321, ASV2200, ASV2577, ASV3487, ASV3821
OTU690	ASV1324
OTU691	ASV1332, ASV2301, ASV3556
OTU692	ASV1344
OTU693	ASV1338, ASV2183
OTU694	ASV1337
OTU695	ASV1349, ASV2101
OTU696	ASV1327, ASV1836
OTU697	ASV1362
OTU698	ASV1360
OTU699	ASV1339
OTU700	ASV1356, ASV1562, ASV1898, ASV1957, ASV2051, ASV2330
OTU701	ASV1374
OTU702	ASV1342
OTU703	ASV1384
OTU704	ASV1357
OTU705	ASV1354, ASV1982, ASV2288, ASV2485, ASV2975
OTU706	ASV1361
OTU707	ASV1373, ASV1416
OTU708	ASV1363
OTU709	ASV1393
OTU710	ASV1368, ASV3199
OTU711	ASV1372
OTU712	ASV1375, ASV3408, ASV3919, ASV3994
OTU713	ASV1367
OTU714	ASV1385
OTU715	ASV1389
OTU716	ASV1047, ASV1383
OTU717	ASV1355
OTU718	ASV1395
OTU719	ASV1387
OTU720	ASV1350
OTU721	ASV1371
OTU722	ASV1366
OTU723	ASV1386, ASV1598
OTU724	ASV1396, ASV2094
OTU725	ASV1390
OTU726	ASV1388
OTU727	ASV1365
OTU728	ASV1402
OTU729	ASV33, ASV1405
OTU730	ASV1397
OTU731	ASV1419
OTU732	ASV1415
OTU733	ASV1406, ASV2547
OTU734	ASV1404
OTU735	ASV1414, ASV1830
OTU736	ASV1430
OTU737	ASV1431
OTU738	ASV1417, ASV1795, ASV3495
OTU739	ASV1426
OTU740	ASV1428, ASV2917
OTU741	ASV1418, ASV4014
OTU742	ASV1437
OTU743	ASV1445, ASV1984
OTU744	ASV1441, ASV2247, ASV3330
OTU745	ASV1433, ASV3997
OTU746	ASV1413, ASV3065
OTU747	ASV1439, ASV2322, ASV2410
OTU748	ASV1444
OTU749	ASV1391
OTU750	ASV1427
OTU751	ASV1450
OTU752	ASV1453
OTU753	ASV1447
OTU754	ASV1454, ASV3350
OTU755	ASV1449
OTU756	ASV1466
OTU757	ASV1448
OTU758	ASV1463
OTU759	ASV1452, ASV1517
OTU760	ASV1470
OTU761	ASV1460, ASV1853
OTU762	ASV1432
OTU763	ASV1467
OTU764	ASV1468, ASV1560
OTU765	ASV1461
OTU766	ASV1440, ASV3022, ASV3280
OTU767	ASV1472
OTU768	ASV1455
OTU769	ASV1476
OTU770	ASV1473, ASV1677, ASV2095
OTU771	ASV1492, ASV2828, ASV3585
OTU772	ASV1480
OTU773	ASV1475
OTU774	ASV1469
OTU775	ASV1487, ASV2041, ASV3028, ASV3881
OTU776	ASV1483, ASV2394
OTU777	ASV1471
OTU778	ASV1490
OTU779	ASV1484
OTU780	ASV1481, ASV2155, ASV3562
OTU781	ASV1496
OTU782	ASV1497
OTU783	ASV1491
OTU784	ASV1485
OTU785	ASV1503
OTU786	ASV1505, ASV1756
OTU787	ASV1502
OTU788	ASV1504
OTU789	ASV1495
OTU790	ASV1513, ASV3613
OTU791	ASV1508
OTU792	ASV1514
OTU793	ASV1486
OTU794	ASV1516
OTU795	ASV1506
OTU796	ASV1515
OTU797	ASV1511, ASV1714
OTU798	ASV1510, ASV2968
OTU799	ASV1533
OTU800	ASV1535
OTU801	ASV1525
OTU802	ASV1534
