sample-id	Country	host	material	description
sample-id	categorical	categorical	categorical	categorical
B-10PP-10PP	ECU	Partamona peckolti	pollen	10PP
B-10PSH-10P	ECU	Plebeia sp.	honey	10PSH
B-11SVH-11	ECU	Scaptotrigona vitorum	honey	11SVH
B-11SVP-11S	ECU	Scaptotrigona vitorum	pollen	11SVP
B-12TFH-12	ECU	Trigona fulviventris	honey	12TFH
B-12TFP-12T	ECU	Trigona fulviventris	pollen	12TFP
B-1CCP-1C	ECU	Cephalotrigona capitata	pollen	1CCP
B-4MIH-4M	ECU	Melipona indecisa	honey	4MIH
B-4MMP-4P	ECU	Melipona mimeica	pollen	4MMP
B-4MNIP-4I	ECU	Melipona mimeica	pollen	4MNIP
B-5MMH-5	ECU	Melipona mimeica	honey	5MMH
B-6PEH-6	ECU	Partamona eutanieata	honey	6PEH
B-6PEP-6P	ECU	Partamona eutanieata	pollen	6PEP
B-8NMH-8H	ECU	Nannotrigona mellaria	honey	8NMH
B-8NMP-8P	ECU	Nannotrigona mellaria	pollen	8NMP
B-SVH1-Q1	ECU	Scaptotrigona vitorum	honey	SVH1
B-SVH10-Q10	ECU	Scaptotrigona vitorum	honey	SVH10
B-SVH11-Q11	ECU	Scaptotrigona vitorum	honey	SVH11
B-SVH12-Q12	ECU	Scaptotrigona vitorum	honey	SVH12
B-SVH13-Q13	ECU	Scaptotrigona vitorum	honey	SVH13
B-SVH14-Q14	ECU	Scaptotrigona vitorum	honey	SVH14
B-SVH15-Q15	ECU	Scaptotrigona vitorum	honey	SVH15
B-SVH2-Q2	ECU	Scaptotrigona vitorum	honey	SVH2
B-SVH3-Q3	ECU	Scaptotrigona vitorum	honey	SVH3
B-SVH4-Q4	ECU	Scaptotrigona vitorum	honey	SVH4
B-SVH5-Q5	ECU	Scaptotrigona vitorum	honey	SVH5
B-SVH6-Q6	ECU	Scaptotrigona vitorum	honey	SVH6
B-SVH7-Q7	ECU	Scaptotrigona vitorum	honey	SVH7
B-SVH8-Q8	ECU	Scaptotrigona vitorum	honey	SVH8
B-SVH9-Q9	ECU	Scaptotrigona vitorum	honey	SVH9
B-VEN-B12	THA	Apis mellifera	unknown	32AM2
B-VEN-C10	VEN	Tetragonisca angustula	honey	17TAH
B-VEN-D9	VEN	Melipona favosa	honey	10MFH
B-VEN-E10	CUB	Melipona beecheii	honey	19MBH
B-VEN-E9	VEN	Melipona favosa	honey	11MFH
B-VEN-F10	VEN	Tetragonisca angustula	pollen	20TAP
B-VEN-F11	VEN	Tetragonisca angustula	honey	28TAH
B-VEN-G10	VEN	Tetragona clavipes	honey	21TCH
B-VEN-H11	VEN	Lepidotrigona fuscobalteata	honey	30LFH
