#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	SS|1.0000|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Phallales,f:Phallaceae,g:Phallus	No hit	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Phallales,f:Phallaceae,g:Phallus	No hit
OTU3	SS|0.9300|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Zygosaccharomyces,s:Zygosaccharomyces mellis	No hit	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Zygosaccharomyces,s:Zygosaccharomyces mellis	No hit
OTU4	SS|1.0000|None;k:Fungi	No hit	k:Fungi	No hit
OTU5	GS|100.0|MN385777|SH0733947.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma asperellum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma asperellum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma	No hit
OTU8	GS|100.0|OP847199|SH0962330.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Cladosporiales,f:Cladosporiaceae,g:Cladosporium,s:Cladosporium sinuosum	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Cladosporiales,f:Cladosporiaceae,g:Cladosporium,s:Cladosporium sinuosum	k:Fungi	No hit
OTU9	GS|98.3|KX268664|SH0886968.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Debaryomyces,s:Debaryomyces prosopidis	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Debaryomyces	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Debaryomyces,s:Debaryomyces prosopidis	No hit
OTU10	SS|1.0000|MT443960|SH0755958.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Kodamaea,s:Kodamaea ohmeri	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Kodamaea,s:Kodamaea ohmeri	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Kodamaea,s:Kodamaea ohmeri	No hit
OTU11	SS|0.8700|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	No hit	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	No hit
OTU12	SS|0.9000|None;k:Fungi	No hit	k:Fungi	No hit
OTU13	GS|0.0|None;No hit	No hit	No hit	No hit
