#OTU ID	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-8NMP-8P	B-SVH1-Q1	B-SVH13-Q13	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH9-Q9	B-VEN-B12	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-H11
OTU1	0	0	89	3	0	0	0	0	31505	20200	80641	0	0	0	2	6	4
OTU10	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11039
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545
OTU1000	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
OTU1001	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0
OTU1002	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1004	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU1005	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU1007	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1008	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	384	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1010	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1011	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1012	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
OTU1013	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU1014	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1015	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU1016	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1017	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1018	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
OTU1019	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU102	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1020	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
OTU1023	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1024	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU1025	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1026	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1027	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0
OTU1028	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1029	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461
OTU1031	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1033	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU1034	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0
OTU1035	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
OTU1036	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356
OTU1038	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	5	0
OTU1039	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU104	3	0	209	30	0	0	0	0	1	0	0	0	0	127	0	0	49
OTU1040	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0
OTU1041	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1042	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1043	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1044	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1045	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU1046	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1048	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1049	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
OTU1051	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1052	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1053	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1054	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1055	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1056	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU1057	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1058	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU106	0	352	0	3	0	0	0	0	0	0	0	0	0	0	0	57	0
OTU1060	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU1061	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1063	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0
OTU1064	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1065	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1066	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
OTU1067	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1068	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0
OTU1069	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	2	338	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1070	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1071	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
OTU1072	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU1073	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1074	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1075	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1076	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1078	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1079	0	0	0	0	7	0	0	0	2	2	0	0	0	0	0	0	0
OTU108	0	0	0	0	0	0	0	0	0	0	2	0	0	339	0	0	4
OTU1080	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1082	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
OTU1083	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0
OTU1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
OTU1085	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU1086	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1087	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1089	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU109	0	309	0	0	13	0	0	0	12	10	4	0	0	0	0	0	0
OTU1090	0	1	1	2	0	0	0	0	2	0	1	0	2	1	0	5	8
OTU1091	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1092	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU1093	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1094	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1095	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0
OTU1096	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1097	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1
OTU1098	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
OTU11	0	9161	0	0	0	0	0	0	104	48	300	0	0	0	0	0	0
OTU110	0	0	0	18	0	0	0	0	0	0	0	0	333	0	0	0	37
