#OTU ID	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-8NMP-8P	B-SVH1-Q1	B-SVH13-Q13	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH9-Q9	B-VEN-B12	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-H11
OTU1100	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1101	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU1102	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU1103	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1104	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU1105	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
OTU1106	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU1107	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1108	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1110	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU1111	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1113	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1114	0	0	1	2	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU1115	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1116	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1117	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1118	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1119	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU112	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1120	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
OTU1121	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU1122	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0
OTU1123	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU1124	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1125	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU1126	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1127	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1129	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU113	1	0	0	0	0	0	0	0	6	5	334	0	0	0	0	0	0
OTU1130	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1131	0	0	0	0	0	2	0	0	1	0	4	0	0	0	0	0	0
OTU1132	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
OTU1133	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
OTU1134	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1135	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1136	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1137	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU1139	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310
OTU1140	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
OTU1141	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1
OTU1142	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1144	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1145	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU1146	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1147	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1148	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1
OTU1149	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1
OTU115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359
OTU1150	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
OTU1151	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1152	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1153	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0
OTU1154	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1155	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
OTU1157	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1158	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0
OTU1159	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
OTU116	0	0	0	0	254	0	0	0	100	16	0	0	0	0	0	0	0
OTU1160	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1161	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0
OTU1162	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1163	0	0	0	0	2	0	0	0	0	0	1	0	0	2	2	1	0
OTU1164	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1165	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1166	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1167	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1168	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1169	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3
OTU117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735
OTU1170	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1171	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1172	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1173	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1174	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
OTU1175	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1176	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1177	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1178	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0	1	1
OTU1179	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0
OTU1180	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1181	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1182	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU1183	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1184	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1185	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1186	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU1187	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1188	0	0	0	0	3	0	0	0	16	5	15	0	0	0	0	0	0
OTU1189	0	0	3	0	1	0	5	0	0	0	0	0	0	0	0	0	0
OTU119	0	2	1	1	1	0	461	0	0	0	2	0	1	1	2	4	1
OTU1190	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1191	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU1192	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1193	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1194	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1195	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1196	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
OTU1197	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU1198	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1199	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	0	0
OTU120	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1201	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1202	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1203	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1204	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0
OTU1205	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1206	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1208	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1210	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1212	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0
OTU1213	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1215	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU1216	3	0	163	29	0	0	0	0	0	0	0	0	0	20	0	0	0
OTU1217	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1218	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1219	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1220	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU1221	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU1223	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1224	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1225	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1226	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
OTU1227	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1229	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0
OTU1231	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1232	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1233	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1234	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1
OTU1235	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1236	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1237	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1238	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
OTU1239	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU124	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	514
OTU1240	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1241	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1030
OTU1242	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
OTU1243	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1244	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1
OTU1245	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1246	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
OTU1248	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU1249	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	0	306	62	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU1251	0	1	0	0	1	0	0	0	1	0	2	0	0	1	0	1	1
OTU1252	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
OTU1254	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
OTU1255	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1257	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
OTU1258	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU1259	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	615
OTU1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
OTU1261	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1262	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1263	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0
OTU1265	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1266	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU1267	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1268	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1269	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	87	203	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1270	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU1271	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
OTU1274	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1275	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1276	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1277	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1278	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1279	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270
OTU1281	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1282	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
OTU1283	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU1284	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU1285	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2
OTU1286	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1287	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU1288	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU1289	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0
OTU1290	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
OTU1291	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0
OTU1293	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU1294	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1295	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1296	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU1297	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU1298	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1299	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15867
OTU130	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273
OTU1300	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU1301	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1302	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1303	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1304	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1306	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
OTU1307	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1309	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU131	0	0	46	67	0	0	0	0	0	0	0	0	0	304	0	0	0
OTU1310	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1311	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1312	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1313	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1314	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU1315	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1316	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU1317	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1319	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640
OTU1321	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1322	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU1323	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU1324	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1325	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1327	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1328	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1329	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
OTU1331	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1333	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1334	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1335	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU1337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OTU1338	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1339	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU134	47	239	5	152	445	0	0	0	8	8	3	0	0	0	0	0	68
OTU1340	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU1341	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1343	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
