#OTU ID	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-8NMP-8P	B-SVH1-Q1	B-SVH13-Q13	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH9-Q9	B-VEN-B12	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-H11	Taxonomy
OTU52	0	0	0	0	0	0	0	0	0	0	0	0	0	732	0	0	0	SS|1.0000|KJ706856|SH0889326.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Yarrowia,s:Yarrowia alimentaria
OTU53	0	44	1	0	3	0	0	0	0	0	1	0	181	582	0	69	0	GS|98.6|OL347838|SH0904996.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Neurospora,s:Neurospora crassa
OTU54	0	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9100|MW286506|SH0849712.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Distoseptisporales,f:Distoseptisporaceae,g:Distoseptispora
OTU55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	SS|0.8200|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota
OTU56	0	623	6	4	19	0	0	0	1	1	8	0	0	0	0	0	0	SS|1.0000|MG826982|SH0895523.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Sarcopodium,s:Sarcopodium durantae
OTU58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699	GS|93.1|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU60	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0	0	1	GS|100.0|OK030642|SH0877593.10FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula mucilaginosa
OTU61	0	0	1	0	0	0	0	0	0	0	0	0	0	208	0	0	758	GSL|100.0|FN376418|SH0928534.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia kluyveri
OTU62	0	0	47	536	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9400|None;k:Fungi
OTU64	0	0	3	589	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Limtongozyma,s:Limtongozyma cylindracea
OTU68	0	2	1	1	0	0	0	0	0	0	3	0	314	0	1	5	257	SS|1.0000|KU582015|SH0983513.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae,g:Leptoxyphium,s:Leptoxyphium glochidion
OTU69	0	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	SS|1.0000|ON712446|SH0857502.10FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Cryptococcaceae,g:Cryptococcus,s:Cryptococcus uniguttulatus
OTU70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	SS|0.8200|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae
OTU71	0	63	17	0	0	0	0	0	0	0	58	0	0	282	0	0	219	GS|100.0|MZ566840|SH0888959.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida parapsilosis
OTU72	0	263	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	SS|1.0000|KX268664|SH0886968.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Yamadazyma,s:Yamadazyma triangularis
OTU73	0	0	0	0	0	0	0	0	73	54	562	0	0	0	0	0	0	GS|0.0|None;No hit
OTU74	0	506	1	0	1	0	0	0	16	12	368	0	0	0	0	0	0	SS|0.8600|None;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Neodevriesiaceae,g:Neodevriesia
OTU76	0	0	0	0	0	0	0	0	0	0	947	0	414	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Zygosaccharomyces,s:Zygosaccharomyces mellis
OTU77	0	257	6	0	0	0	0	0	2	7	392	0	0	0	0	0	0	GS|98.5|MG554257|SH0883628.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Cladosporiales,f:Cladosporiaceae,g:Cladosporium,s:Cladosporium halotolerans
OTU78	0	0	4	109	275	0	0	0	68	10	32	0	0	0	0	0	0	SS|1.0000|OL449702|SH0949914.10FU;k:Fungi,p:Ascomycota
OTU79	0	73	27	0	0	0	0	0	24	5	589	0	0	0	0	0	0	SS|0.8200|MW299056|SH0878054.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus pseudogracilis
OTU80	0	0	474	0	0	0	0	0	3	0	0	0	0	0	0	0	0	SS|1.0000|HQ655817|SH0916816.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU82	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU83	0	0	2	454	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU84	0	0	469	4	0	0	0	0	0	0	4	0	0	0	1	1	0	SS|1.0000|KT377471|SH0730979.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Acremonium,s:Acremonium pinkertoniae
OTU85	189	0	7	0	46	1	0	0	5	3	175	0	0	0	0	0	444	SS|0.9700|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia vanudenii
OTU86	1	0	0	0	0	0	0	0	9	1	420	0	0	0	0	0	0	SS|0.9900|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia rancensis
OTU87	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	GS|99.5|UDB03872913|SH0939673.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium
OTU88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	GS|89.7|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	GS|0.0|None;No hit
OTU91	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi
OTU93	0	301	2	4	0	0	0	0	3	1	137	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Teratosphaeriaceae
OTU94	0	379	2	6	3	0	0	0	0	1	5	0	0	6	0	0	0	SS|1.0000|KY515322|SH0984947.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium,s:Penicillium tarraconense
OTU95	0	0	2	394	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU96	0	365	0	0	0	0	0	0	1	0	51	0	0	0	0	0	0	SS|1.0000|KU581093|SH1043932.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales
OTU97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	SS|0.8100|None;k:Fungi,p:Ascomycota
OTU98	0	358	0	2	3	0	0	0	0	3	10	0	0	0	0	0	0	SS|1.0000|KT207287|SH0971971.10FU;k:Fungi,p:Ascomycota
OTU99	0	0	1	0	0	0	0	0	0	0	0	0	0	408	0	0	0	GS|99.5|MG971244|SH0967741.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Trichomonascaceae,g:Zygoascus,s:Zygoascus meyerae
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	SS|0.8200|None;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
OTU101	0	384	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9800|KX279858|SH0949598.10FU;k:Fungi
OTU102	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9400|KX610114|SH0931818.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	SS|0.9100|None;k:Fungi,p:Ascomycota
OTU104	3	0	209	30	0	0	0	0	1	0	0	0	0	127	0	0	49	GS|100.0|KX938343|SH1008800.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Geotrichum,s:Geotrichum candidum
OTU105	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9500|MK089542|SH0767632.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae
OTU106	0	352	0	3	0	0	0	0	0	0	0	0	0	0	0	57	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Erysiphaceae
OTU107	2	338	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida haemuloni
OTU108	0	0	0	0	0	0	0	0	0	0	2	0	0	339	0	0	4	GSL|100.0|ON706046|SH0928534.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia
OTU109	0	309	0	0	13	0	0	0	12	10	4	0	0	0	0	0	0	GS|96.6|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU110	0	0	0	18	0	0	0	0	0	0	0	0	333	0	0	0	37	SS|0.8100|KP326401|SH1004410.10FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodosporidiobolus,s:Rhodosporidiobolus odoratus
OTU112	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Cuniculitremaceae,g:Kockovaella
OTU113	1	0	0	0	0	0	0	0	6	5	334	0	0	0	0	0	0	SS|1.0000|KU581842|SH1000515.10FU;k:Fungi
OTU114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia viticola
OTU115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	GS|96.6|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU116	0	0	0	0	254	0	0	0	100	16	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Dothideomycetes,g:Radulidium
OTU117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	SS|0.8500|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia vanudenii
OTU118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	SS|0.9400|MH209042|SH0762950.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Bipolaris
OTU119	0	2	1	1	1	0	461	0	0	0	2	0	1	1	2	4	1	SS|0.8500|KT377471|SH0730979.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Bisifusarium,s:Bisifusarium delphinoides
OTU120	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8700|HQ655817|SH0916816.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU123	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	SS|1.0000|MK679563|SH1041172.10FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Mrakiaceae,g:Mrakia
OTU124	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	514	SS|0.9200|KX268664|SH0886968.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Schwanniomyces,s:Schwanniomyces polymorphus
OTU125	0	0	306	62	0	0	0	0	0	0	6	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Trichomonascaceae,g:Trichomonascus,s:Trichomonascus ciferrii
OTU126	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	615	SS|0.8000|OL672303|SH0752854.10FU;k:Fungi,p:Ascomycota
OTU127	0	0	87	203	1	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9500|FJ864703|SH0888267.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus
OTU128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	GS|96.6|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	SS|0.9500|None;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella xanthorrhoeae
OTU130	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	SS|0.9100|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia reukaufii
OTU131	0	0	46	67	0	0	0	0	0	0	0	0	0	304	0	0	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae,g:Apiotrichum,s:Apiotrichum vadense
OTU132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	GS|0.0|None;No hit
OTU134	47	239	5	152	445	0	0	0	8	8	3	0	0	0	0	0	68	SS|0.8800|LC564866|SH0752966.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia
OTU135	0	0	0	0	0	0	0	0	35	18	189	0	0	0	0	0	0	SS|0.8500|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota
OTU136	0	213	156	38	3	0	0	0	36	1	223	0	0	13	0	1	0	GS|0.0|None;No hit
OTU137	7	121	5	51	238	0	0	0	43	18	44	0	0	0	0	0	0	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Periconiaceae,g:Periconia,s:Periconia celtidis
OTU139	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi
OTU140	0	0	0	0	31	0	0	0	508	122	489	0	0	0	0	0	0	GS|0.0|None;No hit
OTU141	0	1	9	50	133	0	14	0	3	0	7	0	0	17	0	251	1	SS|0.9000|MH381811|SH1007266.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Amphisphaeriales,f:Apiosporaceae,g:Nigrospora,s:Nigrospora oryzae
OTU142	0	187	0	0	16	0	12	0	3	0	0	0	0	0	0	2	1	SS|1.0000|KT377471|SH0730979.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
OTU144	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|KU582015|SH0983513.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU145	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	SS|1.0000|HQ655817|SH0916816.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus salinarum
OTU147	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae
OTU149	84	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	194	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia,s:Metschnikowia rancensis
OTU150	0	0	0	0	3	0	0	0	1	0	4	0	0	0	0	232	0	SS|0.9200|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales,f:Stictidaceae,g:Cyanodermella,s:Cyanodermella banksiae
OTU151	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|KT377471|SH0730979.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Memnoniella,s:Memnoniella ellipsoidea
OTU152	0	0	204	15	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|FJ864703|SH0888267.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus
OTU153	1	0	0	87	56	0	0	0	32	26	3	0	0	0	0	0	0	SS|0.9000|KT207287|SH0971971.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Teratosphaeriaceae,g:Acrodontium
OTU154	2	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
