#OTU ID	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-8NMP-8P	B-SVH1-Q1	B-SVH13-Q13	B-SVH15-Q15	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH9-Q9	B-VEN-B12	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-H11	Taxonomy
OTU1	0	0	89	3	0	0	0	0	31505	20200	80641	0	0	0	2	6	4	SS|1.0000|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Phallales,f:Phallaceae,g:Phallus
OTU3	0	0	0	0	0	0	0	0	0	0	748	0	2950	632	17330	72353	16	SS|0.9300|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Zygosaccharomyces,s:Zygosaccharomyces mellis
OTU4	0	1	0	1	0	0	0	0	10	11	12	0	0	164	0	0	62508	SS|1.0000|None;k:Fungi
OTU5	0	1	1	0	0	0	16	0	0	0	1	0	0	1	26035	0	2	GS|100.0|MN385777|SH0733947.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma asperellum
OTU8	25	1823	99	1833	8211	4	36	0	1356	696	256	0	598	95	5	1052	741	GS|100.0|OP847199|SH0962330.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Cladosporiales,f:Cladosporiaceae,g:Cladosporium,s:Cladosporium sinuosum
OTU9	3	139	70	7	2	0	0	0	89	41	162	0	0	11152	0	0	9	GS|98.3|KX268664|SH0886968.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Debaryomyces,s:Debaryomyces prosopidis
OTU10	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11039	SS|1.0000|MT443960|SH0755958.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Kodamaea,s:Kodamaea ohmeri
OTU11	0	9161	0	0	0	0	0	0	104	48	300	0	0	0	0	0	0	SS|0.8700|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	0	0	SS|0.9000|None;k:Fungi
OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15867	GS|0.0|None;No hit
OTU14	44	308	0	0	0	3	0	0	170	210	8328	0	0	0	0	2	0	SS|0.9600|None;k:Fungi
OTU15	0	0	0	0	0	0	0	0	0	0	0	0	1	7433	0	0	0	SS|1.0000|MW007829|SH0924187.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Cephalosporium
OTU17	0	0	0	0	0	0	0	0	0	0	0	0	0	7624	0	0	0	SS|1.0000|MW299217|SH0878054.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus
OTU19	6	0	4276	105	0	0	0	0	0	1	18	0	0	0	0	0	1	SS|0.9800|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Monascus
OTU20	49	224	0	0	0	1	0	0	88	193	3377	0	0	0	1	3	0	SS|0.9900|KX279858|SH0949598.10FU;k:Fungi
OTU21	1	1615	28	163	1223	0	206	0	201	70	46	0	1	1	2	25	4	GSL|100.0|OR690639|SH0731064.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
OTU22	0	0	1	0	0	0	0	0	0	0	11373	0	593	0	552	1	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Zygosaccharomyces,s:Zygosaccharomyces mellis
OTU23	0	0	1	2545	80	0	6	0	2	1	0	0	0	0	0	0	0	GS|98.7|MN521520|SH1037084.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Plectosphaerellaceae,g:Plectosphaerella,s:Plectosphaerella cucumerina
OTU25	0	0	2457	71	0	0	0	0	0	0	1	0	0	0	0	0	0	GS|0.0|None;No hit
OTU26	0	14	16	14	20	0	2044	0	9	4	44	0	9	20	24	47	221	GS|97.6|KY566170|SH0970155.10FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Neocosmospora,s:Neocosmospora falciformis
OTU27	1	3719	0	0	0	0	0	0	10	4	22	0	0	0	0	0	0	SS|0.8800|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU28	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2744	0	SS|0.9700|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Erysiphaceae,g:Erysiphe,s:Erysiphe quercicola
OTU29	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	3136	1	SS|1.0000|KX279858|SH0949598.10FU;k:Fungi
OTU30	0	1891	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	SS|0.9200|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU31	0	2	0	0	1945	1	0	0	1693	623	555	0	0	0	0	1	0	GS|89.7|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1927	SS|0.8600|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
OTU33	47	0	1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.1|JX524462|SH0967366.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Diutina,s:Diutina rugosa
OTU34	0	0	0	16	2041	0	0	0	13	9	7	0	0	0	0	0	0	SS|0.8300|KT207287|SH0971971.10FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae,g:Coremiopassalora
OTU35	2	0	228	3907	0	0	0	0	0	1	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU36	37	0	3	57	1540	10	0	0	10	10	28	0	0	53	0	0	0	SS|0.9800|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Metschnikowiaceae,g:Metschnikowia
OTU38	0	3012	0	0	0	0	0	0	6	3	10	0	0	0	0	0	0	SS|0.8600|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales
OTU39	0	25	0	0	0	0	0	0	13	31	1153	0	0	0	0	0	0	SS|0.9700|None;k:Fungi
OTU40	0	0	8	0	0	0	1	0	0	0	11	0	0	2103	0	1	0	SS|0.8600|MW465988|SH0887053.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Debaryomycetaceae,g:Meyerozyma,s:Meyerozyma guilliermondii
OTU41	0	1367	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	SS|1.0000|MW299433|SH0903476.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus
OTU42	0	0	1132	46	0	0	0	0	0	0	6	0	0	0	0	0	0	GS|99.0|HG964323|SH0940133.10FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus candidus
OTU43	23	234	64	0	0	0	0	0	1	9	336	0	0	1878	0	0	286	SS|1.0000|None;k:Fungi,p:Basidiomycota,c:Wallemiomycetes,o:Wallemiales,f:Wallemiaceae,g:Wallemia
OTU44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	0	0	SS|0.9700|None;k:Fungi,p:Ascomycota
OTU46	0	0	0	0	827	0	0	0	159	147	3	0	0	0	0	0	0	SS|0.9800|None;k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU47	3	0	600	242	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8700|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota
OTU48	0	0	27	871	1	0	0	0	0	0	0	0	0	0	0	1	0	GS|89.7|KX279858|SH0949598.10FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Pichiaceae,g:Pichia,s:Pichia membranifaciens
OTU49	0	1928	0	0	0	0	0	0	12	2	15	0	0	0	0	0	0	SS|0.9300|None;k:Fungi,p:Ascomycota
OTU50	0	0	28	760	8	0	0	0	0	0	0	0	0	0	0	1	0	SS|1.0000|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Candida,s:Candida leandrae
OTU51	1	0	24	715	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8300|KJ706738|SH0866639.10FU;k:Fungi,p:Ascomycota
