file	percent	reads	taxon_id	taxon_name
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	39.438637	38493907	1239	Bacillota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	4.166219	4066420	1224	Pseudomonadota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.288993	282070	201174	Actinomycetota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.156810	153054	976	Bacteroidota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.053827	52538	1117	Cyanobacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.053480	52199	544448	Mycoplasmatota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.033293	32495	28890	Methanobacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.019744	19271	1297	Deinococcota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.015551	15178	29547	Campylobacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.014088	13751	200940	Thermodesulfobacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.010689	10433	203691	Spirochaetota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.009866	9630	200795	Chloroflexota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.009026	8810	256845	Lentisphaerota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.008831	8619	1936987	Balneolota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.007623	7440	200918	Thermotogota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.007065	6896	32066	Fusobacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.005712	5575	67819	Armatimonadota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.005415	5285	40117	Nitrospirota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.004814	4699	203682	Planctomycetota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.004133	4034	2818505	Myxococcota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.003588	3502	74201	Verrucomicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.003549	3464	508458	Synergistota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.002692	2628	1134404	Ignavibacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.002585	2523	57723	Acidobacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.002227	2174	3018035	Bdellovibrionota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.001946	1899	65842	Fibrobacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.001866	1821	651137	Nitrososphaerota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.001830	1786	204428	Chlamydiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.001328	1296	200930	Deferribacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.001131	1104	200783	Aquificota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000759	741	95818	Candidatus Saccharimonadota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000549	536	142182	Gemmatimonadota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000533	520	2528254	Candidatus Binatota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000516	504	1293497	Nitrospinota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000393	384	1090	Chlorobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000294	287	1853220	Rhodothermota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000212	207	1930617	Calditrichota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000194	189	74152	Elusimicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000182	178	67818	Atribacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000152	148	2283796	Thermoplasmatota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000150	146	3027942	Thermomicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000114	111	28889	Thermoproteota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000074	72	3002442	Thermodesulfobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000073	71	134625	Kiritimatiellota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000060	59	2052312	Candidatus Dormiibacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000057	56	3123113	Thermosulfidibacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000052	51	3031715	Candidatus Deferrimicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000039	38	2498705	Candidatus Cryosericota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000038	37	62680	Fidelibacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000036	35	200938	Chrysiogenota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000027	26	1801631	Microcaldota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000024	23	68297	Dictyoglomota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000022	21	640293	Candidatus Methylomirabilota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000020	20	1154676	Vulcanimicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000017	17	2109258	Abditibacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000010	10	67812	Candidatus Omnitrophota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000009	9	2798908	Candidatus Borrarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000008	8	67814	Caldisericota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000007	7	1855361	Candidatus Kryptoniota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000005	5	928852	Candidatus Bathyarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000005	5	1383058	Candidatus Fervidibacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000005	5	3366641	Promethearchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000004	4	1798710	Candidatus Melainabacteria
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000004	4	2138240	Coprothermobacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000004	4	2986807	Candidatus Culexarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000002	2	67810	Candidatus Bipolaricaulota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000002	2	221235	Candidatus Absconditibacteriota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000002	2	1802339	Candidatus Tectimicrobiota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	456828	Candidatus Cloacimonadota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	1462430	Candidatus Nanohalarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	1935019	Candidatus Hydrothermarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	2798906	Candidatus Hodarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	3055124	Candidatus Hadarchaeota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000001	1	3470743	Zhurongbacterota
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.000000	0	10239	Viruses
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	0.145673	142183	NA	cannot be assigned to a (non-viral) phylum
results_refseq_nr/SVH11_Q11/SVH11_Q11.refseq_nr.kaiju.out	55.513102	54183322	NA	unclassified
