#OTU ID	B-10PP-10PP	B-10PSH-10P	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-5TAP-F8	B-6PEH-6	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH12-Q12	B-SVH14-Q14	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11
OTU1	1	0	0	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	69023	3	0	0	3	0	0	6
OTU10	0	0	0	1	0	0	0	0	1	209	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	2140	222	0	84	2	0	0
OTU100	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	4	0	51	0	0	0
OTU101	0	0	2	0	706	0	78	0	607	0	46	0	157	0	0	10	7	0	9	8	67	7	42	831	1278	8	43	0	0	3	0	2	0	18	0
OTU102	1	0	0	0	0	0	0	0	13	92	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	14	9	3	0	0	0	0
OTU103	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	104	0
OTU104	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	5	0	112	0
OTU105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0
OTU106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	7	0	0	0
OTU107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0
OTU108	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	20	0	28	0
OTU109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	15	0	0	0
OTU11	9	0	8	0	6109	2	1507	1	1720	36	21	0	203	0	1	16	26	17	351	16	218	26	2681	1109	2676	112	1039	16134	6	53	0	298	0	3623	56559
OTU110	2	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	21	0	0	0	0	0
OTU111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	3	0	18	0	0	0
OTU112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	39	0	0	0
OTU113	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	86	0	0	1	0	1	0
OTU114	0	0	0	0	24	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	83	0	0	0	0	0	0
OTU115	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	80	0	0	5	0	0	0
OTU116	0	0	0	0	116	2	0	0	4	46	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	37	0	0	0
OTU117	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
OTU118	0	0	0	0	74	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0
OTU119	124	0	17	57	8	1	8	0	1302	189	6	0	11	798	426	40	17	1	175	178	240	41	15	932	1933	5	186	6	28063	5	0	199527	0	12	4
OTU12	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3479	1	0	0	0	0	0	0
OTU120	318	0	2	27	1729	140	5	0	206	223	9	0	26	1661	344	4	2	0	27	167	7	2	5	79	594	1	6	2	29	0	0	305	0	815	0
OTU121	6	0	0	0	6	1	3	0	5	7	7	0	1	0	0	0	0	0	0	3	2	2	6	7	11	0	9	4	2	3	0	17	2	2	1
OTU122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	79	0	0	5	1	0	0
OTU124	5	0	1	1	1	0	7	0	6	2	5	0	1	2	0	0	0	0	0	3	1	0	0	3	3	4	4	4	3	6	0	5	1	3	4
OTU125	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0
OTU126	0	0	0	0	98	6	0	0	2	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
OTU127	0	0	0	0	62	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
OTU128	1	0	0	0	0	0	2	0	0	4	3	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	506	4	4	417	39	1640	6	0
OTU129	9	0	0	0	4	0	7	0	2	4	3	0	1	0	0	1	0	0	0	3	1	0	6	4	9	0	7	5	4	1	0	15	1	1	4
OTU13	0	0	0	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	6	0	1	25921	3181	0	0	301	0	2612	4
OTU130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0
OTU131	0	0	0	0	142	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	1	2	3	0	0	0	0	5	0
OTU132	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	33	0	1	0	0	0
OTU133	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	30	0	60	0
OTU135	8	1	0	1	8	1	4	0	2	5	12	0	3	0	0	0	0	0	1	2	0	0	7	10	3	0	3	11	6	1	0	7	1	1	2
OTU136	0	0	0	0	42	0	449	43	333	1	10	0	0	2	0	8	3	0	0	2	26	4	20	502	1253	0	4	0	0	1	0	17	0	139	0
OTU137	2	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	2	0	1	1
OTU138	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	5	0	0	0	0	0
OTU139	8	0	0	0	2	0	6	0	6	8	2	0	0	0	0	0	0	0	1	2	1	0	3	7	9	0	2	7	0	1	0	15	4	5	2
OTU14	150	6	1143	2	5227	3	102206	181	85908	1679	490	0	25718	35	2	2501	1391	39	6973	404	15236	2509	62401	79276	84526	2544	67652	13	8	2031	2	551	2	384	164
OTU140	1	0	0	1	1	0	5	0	0	10	3	0	0	0	0	0	0	0	1	2	1	0	5	7	4	0	2	5	5	0	0	11	1	5	0
OTU141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
OTU142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0
OTU143	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	30	0
OTU144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
OTU145	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	1	0
OTU146	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	18	0	4	0	0	0
OTU147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
OTU148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
OTU149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0
OTU15	6	0	0	0	0	0	0	0	0	638	5	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1153	498	65	0	166	0	2	0
OTU150	0	0	0	0	1	0	0	0	3	0	0	0	0	9	0	0	0	0	0	1	0	0	0	1	6	0	0	0	38	0	0	0	0	1	0
OTU151	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	1	1	0	0	2	3	0	1	0	18	0	0	0	0	1	0
OTU152	1	0	1	0	71	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	1	0
OTU153	0	0	0	0	68	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	1	0	0	0	0
OTU155	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0
OTU156	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	1	0	0	0
OTU157	3	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0
OTU158	0	0	0	0	43	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	1	0	0	0	0	0
OTU159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
OTU16	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	710	0	0	50	2	1256	0	0
OTU160	11	1	0	0	12	31	6	0	12	23	47	0	0	26	0	0	0	0	1	9	1	0	6	11	14	2	4	11	238	10	0	15	0	3	3
OTU161	68	0	12	128	476	112	61	5	1359	5045	987	0	2430	35	126	53	43	2	94	190	131	29	36	772	3181	14	103	2207	9139	59	31	17526	0	39	0
OTU162	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	19	19	0	1	0	0	0	0	0	0	0	0
OTU163	0	0	0	0	13	0	0	0	5	72	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	9	0	0	0	0	1	0
OTU164	6	0	0	0	2	0	3	0	5	4	1	0	1	0	0	1	0	0	1	4	0	0	4	4	1	0	4	4	1	0	0	5	1	5	2
OTU165	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	1	0	0	0	0	0
OTU166	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	7	0	0	0	0	0
OTU167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	67	0	0	0
