#OTU ID	B-10PP-10PP	B-10PSH-10P	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-5TAP-F8	B-6PEH-6	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH12-Q12	B-SVH14-Q14	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11	Taxonomy
OTU131	0	0	0	0	142	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	1	2	3	0	0	0	0	5	0	GSL|97.6|AF211871_S000021401;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae
OTU132	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	33	0	1	0	0	0	GS|0.0|None;No hit
OTU133	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|0.0|None;No hit
OTU134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	30	0	60	0	GS|97.2|X77468_S000006930;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Acidomonas;
OTU135	8	1	0	1	8	1	4	0	2	5	12	0	3	0	0	0	0	0	1	2	0	0	7	10	3	0	3	11	6	1	0	7	1	1	2	GS|100.0|HE978271_S003288366;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas;
OTU136	0	0	0	0	42	0	449	43	333	1	10	0	0	2	0	8	3	0	0	2	26	4	20	502	1253	0	4	0	0	1	0	17	0	139	0	SS|0.9600|AB257864_S000652804;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
OTU137	2	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	2	0	1	1	GS|99.6|EF030715_S000824490;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Pseudonocardiaceae,g:Saccharopolyspora;
OTU138	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	5	0	0	0	0	0	GS|100.0|AJ242986_S000130225;k:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Alcaligenes;
OTU139	8	0	0	0	2	0	6	0	6	8	2	0	0	0	0	0	0	0	1	2	1	0	3	7	9	0	2	7	0	1	0	15	4	5	2	GSL|98.0|AB048219_S000008031;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae
OTU14	150	6	1143	2	5227	3	102206	181	85908	1679	490	0	25718	35	2	2501	1391	39	6973	404	15236	2509	62401	79276	84526	2544	67652	13	8	2031	2	551	2	384	164	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
OTU140	1	0	0	1	1	0	5	0	0	10	3	0	0	0	0	0	0	0	1	2	1	0	5	7	4	0	2	5	5	0	0	11	1	5	0	GS|98.8|EF605262_S000995323;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Xanthomonadales,f:Sinobacteraceae,g:Steroidobacter;
OTU141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	SS|0.9900|DQ347958_S000641302;k:Bacteria,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Streptophyta
OTU142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	SS|1.0000|DQ347958_S000641302;k:Bacteria,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Streptophyta
OTU143	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	30	0	GS|100.0|CP000246_S000721523;k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto;
OTU144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	GS|0.0|None;No hit
OTU145	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	1	0	GS|0.0|None;No hit
OTU146	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	18	0	4	0	0	0	GS|97.6|CP001685_S002290896;k:Bacteria,p:"Fusobacteria",c:Fusobacteriia,o:"Fusobacteriales",f:"Leptotrichiaceae",g:Leptotrichia;
OTU147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	GS|100.0|AY567473_S000360754;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Oceanospirillaceae,g:Nitrincola;
OTU148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	GS|97.6|EF067860_S000769040;k:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae,g:Sediminibacterium;
OTU149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	SS|1.0000|AF084852_S000428666;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Peredibacter
OTU15	6	0	0	0	0	0	0	0	0	638	5	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1153	498	65	0	166	0	2	0	GS|100.0|AY485602_S000420023;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus;
OTU150	0	0	0	0	1	0	0	0	3	0	0	0	0	9	0	0	0	0	0	1	0	0	0	1	6	0	0	0	38	0	0	0	0	1	0	GS|99.6|AB023237_S000382660;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Leuconostocaceae,g:Leuconostoc;
OTU151	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	1	1	0	0	2	3	0	1	0	18	0	0	0	0	1	0	GS|100.0|AJ575816_S000416841;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas;
OTU152	1	0	1	0	71	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	1	0	GS|0.0|None;No hit
OTU153	0	0	0	0	68	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	SS|1.0000|AF127407_S000387324;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae
