#OTU ID	B-10PP-10PP	B-10PSH-10P	B-11SVH-11	B-11SVP-11S	B-12TFH-12	B-12TFP-12T	B-1CCP-1C	B-4MIH-4M	B-4MMP-4P	B-4MNIP-4I	B-5TAP-F8	B-6PEH-6	B-6PEP-6P	B-8NMH-8H	B-8NMP-8P	B-SVH1-Q1	B-SVH10-Q10	B-SVH11-Q11	B-SVH12-Q12	B-SVH14-Q14	B-SVH2-Q2	B-SVH3-Q3	B-SVH4-Q4	B-SVH5-Q5	B-SVH6-Q6	B-SVH7-Q7	B-SVH8-Q8	B-VEN-B12	B-VEN-C10	B-VEN-D9	B-VEN-E10	B-VEN-F10	B-VEN-F11	B-VEN-G10	B-VEN-H11	Taxonomy
ASV1	141	6	1164	2	255	3	102488	10	89668	1558	587	0	23403	29	3	2300	1611	34	7134	549	18215	2866	72187	84249	85781	3108	76606	10	9	2289	1	48	2	272	56	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV2	48	1	121	1	46	2	24	1890	7786	176	104767	0	22	6	3	39	1738	32	239	80495	10310	1007	16098	13741	13375	6197	27443	20504	12	13971	294	44	0	8	12	SS|1.0000|AM709786_S001239142;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV3	15	0	1	44	6	0	6	0	114	8	5	0	2	10	13	6	3	0	7	9	5	2	4	54	340	2	49	6	25316	4	0	188137	0	7	3	SS|0.9200|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV4	185009	266	0	2	3	0	3	0	4	54	6	0	1	0	0	0	0	0	0	4	2	1	5	2	8	1	4	2	1	1	0	18	1	1	1	SS|0.9800|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV5	6	0	0	0	3	0	6	1	4	79102	6	0	0	0	0	1	0	0	0	1	0	0	1	3	5	0	1	3	1	0	0	3	1	1	0	SS|0.9600|D88528_S000414220;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV6	1	0	0	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	66459	3	0	0	3	0	0	6	SS|0.8800|X95921_S000381398;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae
ASV7	2	0	2	0	23478	0	84	3	438	8	5	0	7	1	0	5	4	0	3	3	41	5	30	471	695	9	42	1164	2	2	0	2310	1	22909	345	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV8	5	0	0	0	12	2	6	0	13	8	9	0	0	0	0	0	1	0	0	5	5	1	8	14	34	3	13	11515	5	0	0	10	0	10	43217	SS|1.0000|AM709786_S001239142;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV9	44043	170	0	0	1	0	1	1	1	9	0	0	1	1	0	0	0	0	0	2	1	0	1	0	1	0	2	1	1	1	0	1	0	0	1	SS|0.9600|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV10	5	0	109	0	2	0	7	897	16464	83	500	0	7	13	1	1347	126	27	57	183	468	102	103	6612	18413	17	111	2	5	1	0	4	1	6	0	GS|99.2|AY204889_S000417782;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus;
ASV11	34	0	1	1	1	0	5	0	332	0	1	0	6	15	60	5	4	0	60	31	17	0	0	136	287	1	1	2	11535	1	135	19153	0	2	1	SS|0.9800|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	22112	3016	0	0	66	0	39	3	GS|98.4|AF211871_S000021401;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Zymobacter;
ASV13	14	0	2	0	32588	3636	0	0	3	163	2	0	0	13	10	0	0	0	0	2	1	0	2	8	15	0	3	0	0	0	0	8	0	2	0	SS|0.8500|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV14	1	0	15	0	1	0	24	100	1227	11	91	0	4	1254	0	1285	161	5	52	286	186	25	638	4819	11903	494	852	615	20	0	0	1	0	0	1	GS|100.0|KJ584313_S004225834;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Bombella;
ASV15	23	0	0	0	0	0	5	0	38	14	0	0	10	8	17	0	2	0	4	9	7	0	0	41	107	0	2	0	11092	1	0	16824	0	0	0	SS|0.9800|AJ621555_S000539469;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV16	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	22006	0	1	GS|100.0|AB176954_S000543032;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas;
ASV17	4	0	0	0	6	0	20952	0	57	57	1	0	562	0	0	2	1	0	1	2	17	2	22	85	68	4	30	0	1	1	0	3	0	7	0	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV18	2	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	1	3	6	0	1	3419	0	0	0	0	0	0	10210	SS|1.0000|AM709786_S001239142;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV19	1	0	0	0	2	0	1	84	135	16	8	0	0	0	0	0	142	3	14	8561	228	23	2550	17	216	1005	1246	0	0	13	2	0	0	3	0	SS|1.0000|AM709786_S001239142;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV20	4	0	0	0	1	0	0	0	14	68	52	0	1	0	0	0	3	0	0	33	1	0	1	8	27	1	0	213	6751	2	0	10408	0	3	0	SS|0.9500|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV21	0	0	29	0	14	0	0	8	4683	18	27	0	0	0	0	308	38	2	11	61	102	22	16	2951	8417	3	53	3	8	0	0	1	0	0	0	GS|99.2|HM443954_S002351530;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus;
ASV22	0	0	1	0	1	0	95	0	492	16	0	0	117	0	0	0	63	22	1080	3	109	9	3988	437	5531	157	1994	6	1	12	0	1	0	50	0	SS|0.9900|AB786910_U010439604;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV23	2	0	0	0	28	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	3	0	2	3	0	1	0	674	0	10487	5	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV24	148	0	0	3	0	0	0	0	0	407	1	0	9919	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	GS|71.3|AJ294725_S000641838;k:Bacteria,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Euglenida;
ASV25	0	0	0	0	1	0	0	2	7	10436	0	0	0	0	5	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	SS|0.9600|AJ318414_S000127978;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV26	5	0	9	17	0	0	0	0	966	116	882	0	273	4	1	35	32	0	82	109	89	17	16	434	1805	11	58	1562	558	56	28	3070	0	2	0	SS|0.9300|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV27	24	0	73	0	2736	1	521	58	4809	129	5	0	581	2	0	332	68	3	70	1	307	60	127	5416	9291	53	243	1	0	0	0	408	0	158	4	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV28	1	0	0	0	26	0	3	1	7	4	1	0	0	0	0	0	0	0	0	2	1	0	1	7	21	0	1	7	0	4	0	967	0	8490	4	SS|1.0000|D87679_S000414171;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV29	0	3	0	0	0	0	0	0	0	1	2	0	1	10	7	0	0	0	0	0	0	0	1	1	1	0	0	3724	896	0	0	120	0	3124	3	SS|1.0000|AF513979_S000430917;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae
ASV30	2	0	0	0	0	0	0	0	0	7265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	SS|1.0000|AJ621555_S000539469;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV31	1	0	0	0	8754	0	14	1	7	0	0	0	0	0	0	0	1	0	0	0	1	0	4	11	24	0	3	0	0	0	0	4	0	79	2	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV32	10	0	0	0	0	0	2042	1	422	75	1	0	2672	4	0	4	1	0	14	0	50	5	404	51	268	8	109	0	0	0	0	3	0	3	0	SS|0.9700|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV33	21	0	2	1	0	1	0	0	396	32	0	0	33	3	41	8	1	0	46	67	17	3	0	50	306	8	12	0	1199	0	44	3201	0	0	0	SS|0.9500|AJ621555_S000539469;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV34	0	0	0	0	5783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	40	7	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV35	55	0	0	0	3059	3070	1	0	3	131	1	0	3	24	22	0	0	0	0	0	0	0	0	4	7	0	0	0	11	0	0	10	1	0	0	SS|0.8300|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV36	111	0	11	4	1	1	1	0	668	179	1	0	1	738	396	24	10	1	134	154	222	38	8	891	1519	2	131	0	176	1	0	518	0	1	1	SS|0.9200|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV37	1	0	0	0	0	0	1	1	1	2	3790	0	0	0	0	0	4	0	0	2	0	0	0	0	1	0	1	0	0	771	0	1	0	2	0	SS|1.0000|AM709786_S001239142;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV38	0	0	0	0	32	0	14	0	21	0	0	0	1	0	0	0	0	0	0	0	4	0	0	57	140	0	0	0	0	0	0	405	0	4585	6	SS|1.0000|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV39	0	0	0	0	11	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	1	3	0	0	0	278	1	4171	4	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV40	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	358	0	4851	0	SS|0.9400|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV41	35	0	0	0	85	2	64	0	2	3706	77	0	3	17	19	0	0	0	0	0	0	0	0	1	10	0	0	0	25	2	0	228	0	14	0	SS|0.8900|AB005893_S000381770;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV42	0	0	6	0	5	0	0	18	251	0	157	0	9	43	6	67	0	0	3	35	4	0	4	26	204	1	10	2862	62	10	0	28	0	9	2	GS|99.6|JQ771132_S003291669;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter;
ASV43	15	0	5	0	55	0	66	0	554	2	4	0	69	0	0	8	19	0	9	3	578	91	1097	2086	582	6	545	0	0	3	0	7	0	12	0	SS|0.9800|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV44	0	0	3	0	0	0	35	0	1290	0	0	0	8	0	0	1	1	0	10	5	6	0	55	38	359	83	2601	0	0	1	0	0	0	4	1	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV45	0	0	0	0	0	0	333	213	20	31	0	0	0	0	0	0	97	0	0	46	38	1	482	836	1906	5	46	1	0	0	0	0	0	0	0	SS|0.9600|AB110421_S000439512;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae
ASV46	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	358	0	3468	0	SS|1.0000|HM443954_S002351530;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV47	1	0	1	0	0	0	19	0	30	9	0	0	83	0	0	2	39	0	183	0	21	6	658	97	1214	45	2131	0	0	3	0	0	0	5	0	SS|0.8200|AM113783_S000608878;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
ASV48	12	0	0	3577	0	0	1	0	6	65	0	0	0	0	0	0	0	0	0	1	0	0	0	1	25	0	2	0	0	0	0	7	0	3	0	SS|0.8000|AB032352_S000469294;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae
ASV49	3	0	0	0	0	0	3155	0	49	37	0	0	417	3	0	5	0	0	4	0	9	2	20	13	35	0	24	0	0	0	0	0	0	1	0	SS|0.9900|AJ271383_S000006708;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV50	46	0	1	110	0	1	0	0	189	165	5	0	1820	2	75	8	10	2	6	60	42	12	21	323	869	2	10	4	7	0	1	6	0	0	0	SS|0.9600|AB257864_S000652804;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
ASV51	10	0	0	1	2	1	3	0	5	7	3	0	1	0	0	0	0	0	0	3	2	0	8	8	5	1	10	879	6	2	12	87	2479	10	3	GS|100.0|AB175636_S000642032;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium;
ASV52	19	0	2	2	0	0	0	0	382	13	0	0	47	7	29	4	3	0	19	56	31	3	1	148	537	13	16	0	1169	0	0	2170	0	0	0	SS|0.9900|AJ621555_S000539469;k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae
