OTU	ASVs
OTU203	ASV596
OTU204	ASV604
OTU205	ASV598
OTU206	ASV607
OTU207	ASV627, ASV1102
OTU208	ASV613, ASV669, ASV827, ASV840, ASV1130, ASV1269
OTU209	ASV616
OTU210	ASV615
OTU211	ASV619
OTU212	ASV618
OTU213	ASV653, ASV711
OTU214	ASV654
OTU215	ASV656
OTU216	ASV22, ASV7, ASV31, ASV66, ASV28, ASV129, ASV47, ASV149, ASV140, ASV168, ASV136, ASV187, ASV176, ASV161, ASV199, ASV146, ASV211, ASV194, ASV212, ASV231, ASV242, ASV243, ASV229, ASV226, ASV272, ASV284, ASV309, ASV394, ASV454, ASV550, ASV563, ASV609, ASV631, ASV611, ASV714, ASV868, ASV832
OTU217	ASV632
OTU218	ASV595
OTU219	ASV649, ASV681
OTU220	ASV668, ASV1296
OTU221	ASV634, ASV648, ASV737, ASV776, ASV1153
OTU222	ASV637
OTU223	ASV638
OTU224	ASV646
OTU225	ASV626
OTU226	ASV640, ASV1545
OTU227	ASV650, ASV740, ASV960, ASV1041, ASV1323
OTU228	ASV641
OTU229	ASV636
OTU230	ASV645, ASV1161
OTU231	ASV642, ASV877
OTU232	ASV659
OTU233	ASV647
OTU234	ASV651, ASV939, ASV1004
OTU235	ASV704
OTU236	ASV655, ASV993, ASV1314
OTU237	ASV680
OTU238	ASV652
OTU239	ASV686, ASV1258
OTU240	ASV660
OTU241	ASV657, ASV1453
OTU242	ASV675, ASV830
OTU243	ASV661
OTU244	ASV679
OTU245	ASV670, ASV996, ASV1084
OTU246	ASV706
OTU247	ASV440, ASV678, ASV812
OTU248	ASV677
OTU249	ASV684, ASV1015, ASV1133
OTU250	ASV701, ASV1345
OTU251	ASV687, ASV819
OTU252	ASV696
OTU253	ASV630, ASV682, ASV690, ASV693, ASV879, ASV873, ASV1105
OTU254	ASV506, ASV689
OTU255	ASV700, ASV735
OTU256	ASV40, ASV100, ASV219, ASV234, ASV293, ASV329, ASV507, ASV601, ASV666, ASV698
OTU257	ASV699, ASV923
OTU258	ASV705
OTU259	ASV707
OTU260	ASV703
OTU261	ASV729, ASV951, ASV1243
OTU262	ASV731
OTU263	ASV718, ASV736, ASV1141
OTU264	ASV721, ASV785
OTU265	ASV720, ASV779, ASV1227
OTU266	ASV725
OTU267	ASV724
OTU268	ASV739
OTU269	ASV727
OTU270	ASV730
OTU271	ASV726
OTU272	ASV756, ASV826
OTU273	ASV751
OTU274	ASV738
OTU275	ASV733
OTU276	ASV759
OTU277	ASV691, ASV1079
OTU278	ASV734
OTU279	ASV741, ASV986, ASV1234
OTU280	ASV742
OTU281	ASV746
OTU282	ASV744
OTU283	ASV749
OTU284	ASV781
OTU285	ASV772, ASV889, ASV1245
OTU286	ASV745, ASV821
OTU287	ASV750
OTU288	ASV752, ASV995, ASV1026, ASV1059
OTU289	ASV755
OTU290	ASV753
OTU291	ASV768, ASV980, ASV988
OTU292	ASV754
OTU293	ASV802
OTU294	ASV760
OTU295	ASV777
OTU296	ASV763
OTU297	ASV766, ASV1064
OTU298	ASV774
OTU299	ASV771
OTU300	ASV786
OTU301	ASV782
OTU302	ASV794
OTU303	ASV783, ASV1399
OTU304	ASV833
OTU305	ASV784
OTU306	ASV787
OTU307	ASV788
OTU308	ASV789
OTU309	ASV792
OTU310	ASV793, ASV1430
OTU311	ASV823
OTU312	ASV807
OTU313	ASV809, ASV918
OTU314	ASV810
OTU315	ASV811, ASV1025
OTU316	ASV825
OTU317	ASV801
OTU318	ASV806, ASV871, ASV1232
OTU319	ASV831
OTU320	ASV813
OTU321	ASV844, ASV1030, ASV1235
OTU322	ASV790
OTU323	ASV814
OTU324	ASV822
OTU325	ASV767, ASV855, ASV1147, ASV1244
OTU326	ASV839
OTU327	ASV854
OTU328	ASV856, ASV962
OTU329	ASV857, ASV1136
OTU330	ASV860
OTU331	ASV862, ASV1508
OTU332	ASV842, ASV1266, ASV1334
OTU333	ASV836
OTU334	ASV847
OTU335	ASV852, ASV907, ASV1162
OTU336	ASV843
OTU337	ASV867
OTU338	ASV874
OTU339	ASV858
OTU340	ASV886
OTU341	ASV861
OTU342	ASV863, ASV1028
OTU343	ASV882
OTU344	ASV866
OTU345	ASV898, ASV1085
OTU346	ASV900
OTU347	ASV870
OTU348	ASV897, ASV1138
OTU349	ASV884
OTU350	ASV899
OTU351	ASV922, ASV1013, ASV1241
OTU352	ASV762
OTU353	ASV880
OTU354	ASV883
OTU355	ASV748
OTU356	ASV567, ASV881, ASV970
OTU357	ASV904
OTU358	ASV761
OTU359	ASV911, ASV1038
OTU360	ASV885
OTU361	ASV902
OTU362	ASV905
OTU363	ASV894
OTU364	ASV828
OTU365	ASV915
OTU366	ASV901
OTU367	ASV906
OTU368	ASV803, ASV1036
OTU369	ASV908
OTU370	ASV913
OTU371	ASV916
OTU372	ASV935
OTU373	ASV917
OTU374	ASV949
OTU375	ASV914
OTU376	ASV17, ASV68, ASV38, ASV75, ASV43, ASV108, ASV153, ASV197, ASV257, ASV283, ASV526, ASV527, ASV591, ASV716, ASV715, ASV921
OTU377	ASV924, ASV1441, ASV1450
OTU378	ASV946
OTU379	ASV925
OTU380	ASV953
OTU381	ASV928
OTU382	ASV936
OTU383	ASV930, ASV1185
OTU384	ASV943
OTU385	ASV959
OTU386	ASV931
OTU387	ASV964
OTU388	ASV937
OTU389	ASV945
OTU390	ASV941
OTU391	ASV950, ASV1090
OTU392	ASV947
OTU393	ASV982
OTU394	ASV952
OTU395	ASV954
OTU396	ASV328, ASV480, ASV975
OTU397	ASV561, ASV955
OTU398	ASV958
OTU399	ASV957
OTU400	ASV963
OTU401	ASV968
OTU402	ASV976
OTU403	ASV989
OTU404	ASV423, ASV834, ASV966
OTU405	ASV967
OTU406	ASV969
OTU407	ASV932
OTU408	ASV972
OTU409	ASV974
OTU410	ASV985
OTU411	ASV1006
OTU412	ASV984, ASV1037
OTU413	ASV981, ASV1146
OTU414	ASV983
OTU415	ASV978
OTU416	ASV1014
OTU417	ASV991
OTU418	ASV994, ASV1069
OTU419	ASV1034
OTU420	ASV992, ASV1259
OTU421	ASV990
OTU422	ASV1001, ASV1070
OTU423	ASV1011
OTU424	ASV999
OTU425	ASV851, ASV1005
OTU426	ASV1007
OTU427	ASV1010
OTU428	ASV1009
OTU429	ASV1031
OTU430	ASV1017
OTU431	ASV1018
OTU432	ASV1023
OTU433	ASV1022
OTU434	ASV1043
OTU435	ASV824
OTU436	ASV1029
OTU437	ASV1046
OTU438	ASV1012
OTU439	ASV13, ASV78, ASV192, ASV346, ASV1035
OTU440	ASV1057
OTU441	ASV1039
OTU442	ASV1044
OTU443	ASV1045
OTU444	ASV1016
OTU445	ASV1075
OTU446	ASV1048, ASV1242
OTU447	ASV1052, ASV1443, ASV1465
OTU448	ASV1051
OTU449	ASV1050
OTU450	ASV1055
OTU451	ASV148, ASV1054
OTU452	ASV1056
OTU453	ASV1091
OTU454	ASV1061
OTU455	ASV1062
OTU456	ASV1058
OTU457	ASV1088, ASV1417
OTU458	ASV948
OTU459	ASV1063
OTU460	ASV1096
OTU461	ASV1098, ASV1178
OTU462	ASV1066
OTU463	ASV695, ASV1065
OTU464	ASV1067
OTU465	ASV1068
OTU466	ASV1072
OTU467	ASV1080
OTU468	ASV1019
OTU469	ASV1074
OTU470	ASV1089
OTU471	ASV1077
OTU472	ASV1106
OTU473	ASV1078
OTU474	ASV1099
OTU475	ASV1081, ASV1140
OTU476	ASV1086
OTU477	ASV1097
OTU478	ASV1087
OTU479	ASV1092
OTU480	ASV1095
OTU481	ASV1073
OTU482	ASV1101
OTU483	ASV1111
OTU484	ASV1103
OTU485	ASV1112
OTU486	ASV639, ASV1107
OTU487	ASV1110
OTU488	ASV1127
OTU489	ASV39, ASV46, ASV296, ASV683, ASV1104
OTU490	ASV1118
OTU491	ASV1119, ASV1144
OTU492	ASV1120
OTU493	ASV1116
OTU494	ASV1165
OTU495	ASV1123
OTU496	ASV1126
OTU497	ASV1139
OTU498	ASV1128
OTU499	ASV1131
OTU500	ASV1109, ASV1221
OTU501	ASV1137
OTU502	ASV1129
OTU503	ASV1164, ASV1391
OTU504	ASV1173
OTU505	ASV1145
OTU506	ASV1148
OTU507	ASV1150
OTU508	ASV1122
OTU509	ASV1142
OTU510	ASV1166
OTU511	ASV1163, ASV1481, ASV1540
OTU512	ASV1155
OTU513	ASV1151
OTU514	ASV1170
OTU515	ASV1158
OTU516	ASV1160
OTU517	ASV1179
OTU518	ASV1201
OTU519	ASV1172
OTU520	ASV1169
OTU521	ASV1171
OTU522	ASV1174
OTU523	ASV1168
OTU524	ASV1154
OTU525	ASV1176
OTU526	ASV1177
OTU527	ASV1175
OTU528	ASV1209
OTU529	ASV1183
OTU530	ASV1197
OTU531	ASV1216
OTU532	ASV1184
OTU533	ASV1186
OTU534	ASV1187
OTU535	ASV1188
OTU536	ASV1226
OTU537	ASV1198
OTU538	ASV1192
OTU539	ASV1194
OTU540	ASV1202
OTU541	ASV1193
OTU542	ASV1203
OTU543	ASV1204
OTU544	ASV1205
OTU545	ASV1189
OTU546	ASV1200
OTU547	ASV1208
OTU548	ASV1210
OTU549	ASV1207
OTU550	ASV1213
OTU551	ASV1233
OTU552	ASV1211
OTU553	ASV1225
OTU554	ASV1215
OTU555	ASV1212
OTU556	ASV1191
OTU557	ASV1223
OTU558	ASV1231
OTU559	ASV1219
OTU560	ASV1224
OTU561	ASV1217
OTU562	ASV1218
OTU563	ASV1222
OTU564	ASV1230
OTU565	ASV1237
OTU566	ASV1239
OTU567	ASV1240
OTU568	ASV1214, ASV1512
OTU569	ASV1294
OTU570	ASV1260
OTU571	ASV1247
OTU572	ASV1248, ASV1289
OTU573	ASV1265
OTU574	ASV1254
OTU575	ASV1255
OTU576	ASV1286
OTU577	ASV1281
OTU578	ASV1257
OTU579	ASV1256
OTU580	ASV1290
OTU581	ASV1261
OTU582	ASV1262
OTU583	ASV1291
OTU584	ASV1276
OTU585	ASV1264
OTU586	ASV1270
OTU587	ASV1285
OTU588	ASV1295
OTU589	ASV1272
OTU590	ASV1279
OTU591	ASV1278
OTU592	ASV1282
OTU593	ASV1284
OTU594	ASV1275
OTU595	ASV1288
OTU596	ASV1283
OTU597	ASV1330
OTU598	ASV1320
OTU599	ASV1287
OTU600	ASV1326
OTU601	ASV1293
OTU602	ASV1305
OTU603	ASV1292
OTU604	ASV1297
OTU605	ASV1301
OTU606	ASV1349, ASV1516
OTU607	ASV1311
OTU608	ASV1298
OTU609	ASV1303
OTU610	ASV1300
OTU611	ASV1340
OTU612	ASV1339
OTU613	ASV1299, ASV1458
OTU614	ASV1302
OTU615	ASV1325
OTU616	ASV1304
OTU617	ASV1309
OTU618	ASV1306
OTU619	ASV1310
OTU620	ASV1313
OTU621	ASV1329
OTU622	ASV1315
OTU623	ASV1316
OTU624	ASV1308
OTU625	ASV1318
OTU626	ASV1307
OTU627	ASV1322
OTU628	ASV1321
OTU629	ASV1324
OTU630	ASV1333
OTU631	ASV1317
OTU632	ASV1328
OTU633	ASV1335
OTU634	ASV1336, ASV1457
OTU635	ASV1370
OTU636	ASV1337
OTU637	ASV1338
OTU638	ASV1352
OTU639	ASV1341
OTU640	ASV1346
OTU641	ASV1344
OTU642	ASV1376
OTU643	ASV1351, ASV1381
OTU644	ASV1353
OTU645	ASV1343
OTU646	ASV1347
OTU647	ASV1350
OTU648	ASV1331
OTU649	ASV1390
OTU650	ASV1355
OTU651	ASV1359
OTU652	ASV1361
OTU653	ASV1360
OTU654	ASV1365
OTU655	ASV1364
OTU656	ASV1363
OTU657	ASV1362
OTU658	ASV1367
OTU659	ASV1394
OTU660	ASV1377
OTU661	ASV1383
OTU662	ASV1371
OTU663	ASV1373
OTU664	ASV1374
OTU665	ASV1379
OTU666	ASV1380
OTU667	ASV1414
OTU668	ASV1375
OTU669	ASV1416
OTU670	ASV1384
OTU671	ASV1387
OTU672	ASV1385
OTU673	ASV1386
OTU674	ASV1389
OTU675	ASV1378
OTU676	ASV1393
OTU677	ASV1392
OTU678	ASV1406
OTU679	ASV1388, ASV1424, ASV1460
OTU680	ASV1395
OTU681	ASV1405
OTU682	ASV1418
OTU683	ASV1400
OTU684	ASV1401
OTU685	ASV1402
OTU686	ASV1398
OTU687	ASV1425
OTU688	ASV1408
OTU689	ASV1407
OTU690	ASV1134, ASV1412
OTU691	ASV1413
OTU692	ASV1167, ASV1415
OTU693	ASV1428
OTU694	ASV1427
OTU695	ASV1437
OTU696	ASV1456
OTU697	ASV1422
OTU698	ASV1423
OTU699	ASV1429
OTU700	ASV1435
OTU701	ASV1434
OTU702	ASV1432
OTU703	ASV1431
OTU704	ASV1436
OTU705	ASV1438
OTU706	ASV1440
OTU707	ASV1447
OTU708	ASV1455
OTU709	ASV1444, ASV1468
OTU710	ASV1478
OTU711	ASV1480
OTU712	ASV1445
OTU713	ASV1449
OTU714	ASV1448
OTU715	ASV1454
OTU716	ASV1461
OTU717	ASV1482
OTU718	ASV1462
OTU719	ASV1487
OTU720	ASV1459
OTU721	ASV1463
OTU722	ASV1489
OTU723	ASV1471
OTU724	ASV1488
OTU725	ASV1466
OTU726	ASV1464
OTU727	ASV1486
OTU728	ASV1493
OTU729	ASV1467
OTU730	ASV1469
OTU731	ASV1528
OTU732	ASV1474
OTU733	ASV1473
OTU734	ASV1476
OTU735	ASV1475
OTU736	ASV1477
OTU737	ASV1479
OTU738	ASV1451
OTU739	ASV1484
OTU740	ASV1485
OTU741	ASV1496
OTU742	ASV1491
OTU743	ASV1494
OTU744	ASV1490
OTU746	ASV1499
OTU747	ASV1495
OTU748	ASV1483
OTU749	ASV1498
OTU750	ASV1538
OTU751	ASV1492
OTU752	ASV1503
OTU753	ASV1500
OTU754	ASV1502
OTU755	ASV1509
OTU756	ASV1504
OTU757	ASV1501
OTU758	ASV1497
OTU759	ASV1542
OTU760	ASV1506
OTU761	ASV1510
OTU762	ASV1505
OTU763	ASV1515
OTU764	ASV1539
OTU765	ASV1517
OTU766	ASV1523
OTU767	ASV1521
OTU768	ASV1519
OTU769	ASV1526
OTU770	ASV1525
OTU771	ASV1535
OTU772	ASV1514
OTU773	ASV1530
OTU774	ASV1529
OTU775	ASV1518
OTU776	ASV1520
OTU777	ASV1537
OTU778	ASV1524
OTU779	ASV1522
OTU780	ASV1527
OTU781	ASV1533
OTU782	ASV1531
OTU783	ASV1541
OTU784	ASV1544
OTU785	ASV1532
