OTU	ASVs
*	ASV1543
OTU1	ASV6, ASV86, ASV191, ASV223, ASV217, ASV236, ASV330
OTU2	ASV4, ASV11, ASV20, ASV9, ASV58, ASV62, ASV35, ASV52, ASV98, ASV116, ASV99, ASV77, ASV130, ASV144, ASV169, ASV137, ASV167, ASV201, ASV215, ASV200, ASV233, ASV241, ASV265, ASV268, ASV288, ASV301, ASV311, ASV356, ASV360, ASV365, ASV372, ASV379, ASV383, ASV377, ASV421, ASV433, ASV432, ASV476, ASV546, ASV566, ASV576, ASV610, ASV893, ASV1027
OTU3	ASV5, ASV64, ASV33, ASV30, ASV179, ASV218, ASV255, ASV271, ASV266, ASV342
OTU4	ASV51, ASV138, ASV382
OTU5	ASV2, ASV56, ASV37, ASV19, ASV114, ASV143, ASV81, ASV118, ASV93, ASV216, ASV251, ASV290, ASV302, ASV347, ASV375, ASV355, ASV461, ASV571, ASV891
OTU6	ASV54, ASV249, ASV621, ASV644, ASV728, ASV878
OTU7	ASV14, ASV131, ASV102, ASV256, ASV276, ASV411, ASV558, ASV743
OTU8	ASV57, ASV412, ASV516, ASV602
OTU9	ASV10, ASV21, ASV107, ASV246, ASV263, ASV445, ASV531, ASV853
OTU10	ASV59
OTU11	ASV18, ASV8, ASV55, ASV76, ASV126, ASV34, ASV128, ASV203, ASV214, ASV224, ASV209, ASV281, ASV326, ASV340, ASV357, ASV425, ASV557
OTU12	ASV53, ASV294, ASV364, ASV443, ASV1228
OTU13	ASV12, ASV82, ASV79, ASV152, ASV97, ASV171, ASV156, ASV188, ASV247, ASV269, ASV299, ASV310, ASV315, ASV348, ASV341, ASV316, ASV415, ASV457, ASV518, ASV548, ASV560, ASV665, ASV713, ASV723, ASV773, ASV838
OTU14	ASV1, ASV32, ASV70, ASV27, ASV95, ASV44, ASV49, ASV235, ASV337, ASV529, ASV565, ASV589
OTU15	ASV69, ASV237, ASV262, ASV430, ASV503, ASV614, ASV624
OTU16	ASV72, ASV351, ASV437
OTU17	ASV73, ASV120, ASV45, ASV352, ASV431, ASV1332
OTU18	ASV85
OTU19	ASV29, ASV305, ASV253, ASV472, ASV551, ASV1229
OTU20	ASV24, ASV468
OTU21	ASV80, ASV121, ASV198, ASV298, ASV446, ASV606, ASV765, ASV841
OTU22	ASV87, ASV322
OTU23	ASV16, ASV122, ASV764
OTU24	ASV84, ASV48
OTU25	ASV125, ASV42, ASV164, ASV141, ASV456, ASV667, ASV800
OTU26	ASV91, ASV88, ASV292
OTU27	ASV96, ASV159, ASV165, ASV537
OTU28	ASV90, ASV482, ASV600, ASV697, ASV1083
OTU29	ASV92, ASV111, ASV481
OTU30	ASV94
OTU31	ASV103
OTU32	ASV106, ASV671
OTU33	ASV110, ASV104, ASV419, ASV1053
OTU34	ASV112, ASV402, ASV672
OTU35	ASV60, ASV338, ASV392
OTU36	ASV124, ASV133, ASV207, ASV274, ASV319, ASV539, ASV676, ASV837, ASV1114, ASV1250
OTU37	ASV132, ASV608
OTU38	ASV134
OTU39	ASV139
OTU40	ASV174, ASV442
OTU41	ASV145, ASV1021
OTU42	ASV142, ASV160
OTU43	ASV155, ASV273, ASV408, ASV478, ASV502, ASV1280
OTU44	ASV135, ASV366, ASV521
OTU45	ASV163
OTU46	ASV158
OTU47	ASV151, ASV210, ASV166
OTU48	ASV180, ASV1403
OTU49	ASV170, ASV182, ASV252, ASV717, ASV934, ASV956
OTU50	ASV162, ASV381, ASV471, ASV496, ASV584, ASV694, ASV849, ASV864, ASV942, ASV1020, ASV1060
OTU51	ASV25, ASV173, ASV185, ASV204, ASV154, ASV260, ASV345, ASV391, ASV407, ASV405, ASV490, ASV520, ASV504
OTU52	ASV157
OTU53	ASV172
OTU54	ASV175
OTU55	ASV177, ASV485, ASV580, ASV798, ASV816
OTU56	ASV178
OTU57	ASV186, ASV599, ASV778
OTU58	ASV206, ASV1342
OTU59	ASV189, ASV475, ASV497, ASV603, ASV757, ASV796, ASV933, ASV1094
OTU60	ASV190, ASV406, ASV519, ASV573, ASV674
OTU61	ASV193, ASV297, ASV317, ASV438, ASV469, ASV484, ASV500, ASV688, ASV702, ASV775, ASV797
OTU62	ASV196, ASV692, ASV1536
OTU63	ASV221, ASV374, ASV462, ASV662
OTU64	ASV213, ASV208, ASV544, ASV909, ASV927, ASV1002
OTU65	ASV147
OTU66	ASV220
OTU67	ASV227, ASV538
OTU68	ASV222, ASV795
OTU69	ASV232
OTU70	ASV230, ASV304, ASV780, ASV1199
OTU71	ASV238, ASV389, ASV747, ASV1033
OTU72	ASV240
OTU73	ASV239
OTU74	ASV245, ASV710
OTU75	ASV248, ASV334, ASV450, ASV464, ASV1124, ASV1238
OTU76	ASV250, ASV426
OTU77	ASV254
OTU78	ASV259
OTU79	ASV258, ASV393, ASV850, ASV938, ASV1420
OTU80	ASV285, ASV620
OTU81	ASV282, ASV264, ASV568, ASV628
OTU82	ASV278, ASV514, ASV865, ASV887, ASV1357
OTU83	ASV280, ASV685, ASV719
OTU84	ASV275
OTU85	ASV279, ASV903
OTU86	ASV286
OTU87	ASV306, ASV944
OTU88	ASV287, ASV335, ASV848, ASV1143
OTU89	ASV291
OTU90	ASV300, ASV386, ASV961, ASV1426
OTU91	ASV308
OTU92	ASV303
OTU93	ASV313
OTU94	ASV312
OTU95	ASV318, ASV353
OTU96	ASV314
OTU97	ASV323, ASV449, ASV470, ASV532, ASV583, ASV1135
OTU98	ASV333
OTU99	ASV325
OTU100	ASV327
OTU101	ASV320, ASV463, ASV929
OTU102	ASV332, ASV582, ASV845, ASV1409
OTU103	ASV339, ASV875
OTU104	ASV331, ASV965
OTU105	ASV336, ASV617
OTU106	ASV343, ASV414
OTU107	ASV321, ASV709, ASV1419
OTU108	ASV349
OTU109	ASV350, ASV712
OTU110	ASV354
OTU111	ASV359, ASV663
OTU112	ASV362, ASV498, ASV436
OTU113	ASV363
OTU114	ASV368, ASV577
OTU115	ASV367, ASV1115, ASV1472
OTU116	ASV371, ASV378, ASV540, ASV910, ASV1121, ASV1195
OTU117	ASV369
OTU118	ASV370
OTU119	ASV3, ASV63, ASV71, ASV65, ASV67, ASV36, ASV123, ASV150, ASV74, ASV184, ASV195, ASV376, ASV358, ASV398, ASV409, ASV403, ASV517, ASV505, ASV542, ASV973
OTU120	ASV109, ASV117, ASV115, ASV127, ASV101, ASV205, ASV228, ASV244, ASV277, ASV289, ASV295, ASV344, ASV380, ASV388, ASV401, ASV424, ASV495, ASV486, ASV545, ASV605, ASV892
OTU121	ASV385
OTU122	ASV387
OTU123	ASV420, ASV592, ASV1190
OTU124	ASV417
OTU125	ASV395
OTU126	ASV397, ASV511
OTU127	ASV428, ASV556
OTU128	ASV61, ASV400, ASV673, ASV732, ASV979
OTU129	ASV404
OTU130	ASV399
OTU131	ASV410, ASV373, ASV872, ASV926
OTU132	ASV434
OTU133	ASV448
OTU134	ASV413, ASV447, ASV1108
OTU135	ASV416, ASV815, ASV888
OTU136	ASV83, ASV113, ASV361, ASV324, ASV418
OTU137	ASV422, ASV1003
OTU138	ASV435, ASV1093
OTU139	ASV427, ASV534
OTU140	ASV429, ASV1076
OTU141	ASV441
OTU142	ASV439, ASV643
OTU143	ASV444
OTU144	ASV477
OTU145	ASV479
OTU146	ASV451, ASV1100
OTU147	ASV453
OTU148	ASV458
OTU149	ASV455
OTU150	ASV460, ASV1157
OTU151	ASV459
OTU152	ASV510, ASV508, ASV1470
OTU153	ASV466, ASV633, ASV1513
OTU154	ASV465
OTU155	ASV473
OTU156	ASV474
OTU157	ASV493
OTU158	ASV483, ASV658
OTU159	ASV492
OTU160	ASV270, ASV384, ASV487, ASV555, ASV770, ASV1273
OTU161	ASV15, ASV50, ASV26, ASV89, ASV41, ASV181, ASV183, ASV105, ASV119, ASV307, ASV396, ASV467, ASV488
OTU162	ASV491
OTU163	ASV494, ASV501, ASV1042, ASV1082, ASV1411
OTU164	ASV499
OTU165	ASV513, ASV1220
OTU166	ASV523, ASV846
OTU167	ASV525, ASV664
OTU168	ASV202, ASV225, ASV489, ASV509, ASV625
OTU169	ASV512
OTU170	ASV515, ASV1156
OTU171	ASV524
OTU172	ASV528
OTU173	ASV522, ASV817
OTU174	ASV530
OTU175	ASV533, ASV708
OTU176	ASV553, ASV805
OTU177	ASV535
OTU178	ASV536
OTU179	ASV543, ASV808
OTU180	ASV541
OTU181	ASV574
OTU182	ASV549
OTU183	ASV554
OTU184	ASV547
OTU185	ASV559, ASV919
OTU186	ASV570
OTU187	ASV23, ASV261, ASV267, ASV552, ASV562, ASV564, ASV623, ASV622, ASV869, ASV920
OTU188	ASV581, ASV1049
OTU189	ASV569, ASV769, ASV912
OTU190	ASV579, ASV791, ASV1125
OTU191	ASV572, ASV1149
OTU192	ASV575, ASV635
OTU193	ASV578
OTU194	ASV612
OTU195	ASV585
OTU196	ASV588
OTU197	ASV586
OTU198	ASV590
OTU199	ASV593
OTU200	ASV597
OTU201	ASV629
OTU202	ASV594, ASV818, ASV971, ASV1252
