file	percent	reads	taxon_id	taxon_name
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	31.859537	27112752	33958	Lactobacillaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	1.188460	1011390	543	Enterobacteriaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.795261	676774	1903414	Morganellaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.707645	602212	186817	Bacillaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.619740	527404	81852	Enterococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.454502	386785	433	Acetobacteraceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.365011	310628	403	Methylococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.329937	280779	186828	Carnobacteriaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.286159	243524	468	Moraxellaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.284083	241757	1300	Streptococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.271611	231143	1903409	Erwiniaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.208409	177358	90964	Staphylococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.202384	172231	186822	Paenibacillaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.158898	135224	186827	Aerococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.096708	82299	641	Vibrionaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.094119	80096	186821	Sporolactobacillaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.091064	77496	28056	Micromonosporaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.079983	68066	31953	Bifidobacteriaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.071150	60549	31979	Clostridiaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.063483	54025	119859	Tolypothrichaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.053465	45499	186820	Listeriaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.052865	44989	186804	Peptostreptococcaceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.051883	44153	186803	Lachnospiraceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.051440	43776	216572	Oscillospiraceae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.047149	40124	186818	Caryophanaceae
